identity	pages_base	pages_after	pages_ref	glyphs_base	glyphs_after	glyphs_ref
001_Free_Genogram_Diagram_Template_Blue_and_Gray_Theme_7c9e01a7__docx	1	1	1	176	176	176
001_advanced_word_chart_report__docx	1	1	1	535	535	535
002_Free_Genogram_Diagram_Template_Customizable_Format_2219584b__docx	1	1	1	303	303	303
002_advanced_word_chart_report__docx	1	1	1	536	536	536
003_Free_Genogram_Diagram_Template_Easy_Format_60eb6e42__docx	1	1	1	120	120	120
003_advanced_word_chart_report__docx	1	1	1	534	534	534
004_Free_Genogram_Diagram_Template_Editable_Format_b82b6152__docx	1	1	1	145	145	143
004_advanced_word_chart_report__docx	1	1	1	530	530	530
005_Free_Genogram_Diagram_Template_Excellent_layout_f5f185d0__docx	1	1	1	8	8	7
005_advanced_word_chart_report__docx	1	1	1	529	529	529
006_Free_Genogram_Diagram_Template_Fillable_Format_7ca08541__docx	1	1	1	203	203	201
006_advanced_word_chart_report__docx	1	1	1	529	529	529
007_Free_Genogram_Diagram_Template_Green_and_Purple_Theme_8d2ba829__docx	1	1	1	137	137	137
007_advanced_word_chart_report__docx	1	1	1	531	531	531
008_Free_Genogram_Diagram_Template_Green_and_Yellow_Theme_9017c1a8__docx	1	1	1	295	295	293
008_advanced_word_chart_report__docx	1	1	1	534	534	534
009_Free_Genogram_Diagram_Template_Handy_Format_4bb900f0__docx	1	1	1	170	170	170
009_advanced_word_chart_report__docx	1	1	1	540	540	540
010_Free_Genogram_Diagram_Template_Yellow_Theme_6ee4f818__docx	1	1	1	318	318	317
010_advanced_word_chart_report__docx	1	1	1	533	533	533
011_Project_Timeline_Template_Beautiful_Theme_2336e680__docx	1	1	1	885	885	832
011_advanced_word_chart_report__docx	1	1	1	530	530	530
012_Project_Timeline_Template_Black_and_Brown_Theme_35c76550__docx	2	2	2	201	201	188
012_advanced_word_chart_report__docx	1	1	1	538	538	538
013_Project_Timeline_Template_Blue_Background_4ea3475e__docx	1	1	1	312	312	312
013_advanced_word_chart_report__docx	1	1	1	525	525	525
014_Project_Timeline_Template_Blue_and_Green_Theme_a8311fa1__docx	1	1	1	820	820	812
014_advanced_word_chart_report__docx	1	1	1	531	531	531
015_Project_Timeline_Template_Colored_Background_6434b0e8__docx	2	2	2	211	211	203
015_advanced_word_chart_report__docx	1	1	1	532	532	532
016_Project_Timeline_Template_Complete_Guide_7d36d09c__docx	1	1	1	633	633	625
016_advanced_word_chart_report__docx	1	1	1	537	537	537
017_Project_Timeline_Template_Customizable_Format_5d5ca2e8__docx	1	1	1	470	470	400
017_advanced_word_chart_report__docx	1	1	1	540	540	540
018_Project_Timeline_Template_Editable_Format_e1cf1df5__docx	1	1	1	433	433	432
018_advanced_word_chart_report__docx	1	1	1	530	530	530
019_Project_Timeline_Template_Excellent_Layout_4ee62967__docx	1	1	1	331	331	318
019_advanced_word_chart_report__docx	1	1	1	533	533	533
020_Project_Timeline_Template_Modern_Theme_0c215d87__docx	1	1	1	316	316	308
020_advanced_word_chart_report__docx	1	1	1	530	530	530
021_Unit_Circle_Chart_3D_Pie_Chart_404247ab__docx	1	1	1	549	549	549
021_advanced_word_chart_report__docx	1	1	1	532	532	532
022_Unit_Circle_Chart_Circle_A_and_B_19dbf275__docx	1	1	1	1047	1047	1047
022_advanced_word_chart_report__docx	1	1	1	530	530	530
023_Unit_Circle_Chart_Circular_Percentage_790f7b75__docx	1	1	1	550	550	545
023_advanced_word_chart_report__docx	1	1	1	532	532	532
024_Unit_Circle_Chart_Colorful_Circles_7c92601e__docx	1	1	1	557	557	552
024_advanced_word_chart_report__docx	1	1	1	536	536	536
025_Unit_Circle_Chart_Cos_and_Sin_Model_1ed01892__docx	1	1	1	607	607	607
025_advanced_word_chart_report__docx	1	1	1	524	524	524
026_Unit_Circle_Chart_Four_Quadrants_09bf3ed1__docx	1	1	1	418	418	413
026_advanced_word_chart_report__docx	1	1	1	533	533	533
027_Unit_Circle_Chart_Graphical_Chart_5462a579__docx	1	1	1	1557	1557	1557
027_advanced_word_chart_report__docx	1	1	1	528	528	528
028_Unit_Circle_Chart_Optimized_Graph_83d9c756__docx	1	1	1	1220	1220	1218
028_advanced_word_chart_report__docx	1	1	1	530	530	530
029_Unit_Circle_Chart_Pie_Theme_8a922142__docx	1	1	1	568	568	568
029_advanced_word_chart_report__docx	1	1	1	528	528	528
02_mcar_part-2_and_IS_v2.10__docx	314	314	312	421243	421243	414481
030_Unit_Circle_Chart_Points_System_23b5ef07__docx	1	1	1	403	403	403
030_advanced_word_chart_report__docx	1	1	1	528	528	528
031_Venn_Diagram_Template_Blue_Theme_a9e417b8__docx	1	1	1	250	250	240
031_advanced_word_chart_report__docx	1	1	1	527	527	527
032_Venn_Diagram_Template_Brown_Theme_d5b549f0__docx	1	1	1	195	195	195
032_advanced_word_chart_report__docx	1	1	1	534	534	534
033_Venn_Diagram_Template_Colored_Theme_2aea6697__docx	1	1	1	63	63	63
033_advanced_word_chart_report__docx	1	1	1	529	529	529
034_Venn_Diagram_Template_Customizable_Format_d14642b7__docx	1	1	1	63	63	63
035_Venn_Diagram_Template_Editable_Format_966dff5f__docx	1	1	1	142	142	142
036_Venn_Diagram_Template_Fillable_Layout_3ffbba36__docx	1	1	1	61	61	61
037_Venn_Diagram_Template_Four_Circle_764829a0__docx	1	1	1	98	98	98
038_Venn_Diagram_Template_Off_White_and_Blue_Theme_9dff385e__docx	1	1	1	180	180	180
039_Venn_Diagram_Template_Simple_Format_6f82661d__docx	1	1	1	161	161	161
03_Technical_Report_(progress)_template__docx	10	10	10	7403	7403	7403
040_Venn_Diagram_Template_Three_Circle_80f32f5e__docx	1	1	1	240	240	231
041_Visual_Product_Roadmap_Template_Blank_Format_63a3e010__docx	1	1	1	124	124	116
042_Visual_Product_Roadmap_Template_Colored_Background_89385cfb__docx	1	1	1	487	487	480
043_Visual_Product_Roadmap_Template_Customizable_Format_ee0fe5b1__docx	1	1	1	1099	1099	1087
044_Visual_Product_Roadmap_Template_Editable_Format_c232a2c0__docx	1	1	1	263	263	263
045_Visual_Product_Roadmap_Template_Excellent_Format_e364063c__docx	1	1	1	235	235	235
046_Visual_Product_Roadmap_Template_Fillable_Format_582acab0__docx	1	1	1	591	591	583
047_Visual_Product_Roadmap_Template_Professional_Layout_2ff4499e__docx	1	1	1	224	224	218
048_Visual_Product_Roadmap_Template_Quality_Layout_f38f7aee__docx	1	1	1	402	402	402
049_Visual_Product_Roadmap_Template_Simple_Format_4af26e4f__docx	1	1	1	406	406	399
050_Visual_Product_Roadmap_Template_Yellow_and_Blue_Theme_49b50744__docx	1	1	1	1282	1282	1253
051_Organogram_Template_Basic_Theme_e6464d06__docx	1	1	1	60	60	49
052_Organogram_Template_Colorful_Flow_Chart_cba9fbfe__docx	1	1	1	178	178	178
053_Organogram_Template_Creative_Theme_21657a3d__docx	1	1	1	138	138	138
054_Organogram_Template_Grey_Vertical_Theme_b2dbd9a8__docx	1	1	1	154	154	154
055_Organogram_Template_Horizontal_Structure_28a7e725__docx	1	1	1	402	402	300
056_Organogram_Template_Square_Theme_38f373d4__docx	1	1	1	235	235	235
057_Organogram_Template_Vertical_Colorful_Theme_724b143c__docx	1	1	1	202	202	194
058_Organogram_Template_With_Picture_Theme_44b79368__docx	1	1	1	74	74	66
059_Disease_Concept_Map_Template_4acf63f2__docx	1	1	1	130	130	102
060_Human_Body_Concept_Map_Template_ac872cfb__docx	1	1	1	138	138	138
