document	id	start	end	text	scheme6	ref_colour	field
W3_Case_Study_of_a_Tsunami_Warning_Simulation_Exercise_Ed.ppt	12	84	105	Edward.Young@noaa.gov		009999	plain
080214-Intl-pol-frameworks-and-their-implications-for-Africa-ISS-workshop.ppt	1	15	32	http://unfccc.int	990033	996600	plain
080214-Intl-pol-frameworks-and-their-implications-for-Africa-ISS-workshop.ppt	3	138	182	http://www.iisd.ca/enbvol/enb-background.htm	990033	996600	plain
gfopportunitiesforlinkagespres_2010_en.ppt	69	125	190	http://www.who.int/bulletin/volumes/87/11/08-059147/en/index	0000ff	0000ff	field
gfopportunitiesforlinkagespres_2010_en.ppt	70	475	528	http://whqlibdoc.who.int/hq/2009/WHO_HIV_2009_eng.pdf	0000ff	0000ff	field
gfopportunitiesforlinkagespres_2010_en.ppt	79	140	188	http://216.146.209.72/PDFs/Integration_Guide.pdf	0000ff	000000	plain
gfopportunitiesforlinkagespres_2010_en.ppt	80	309	354	http://www.gnpplus.net/content/view/1511/114/	0000ff	000000	plain
gfopportunitiesforlinkagespres_2010_en.ppt	81	524	585	http://aidsalliance.3cdn.net/6324710e2dc193985d_p9m6i26je.pd	0000ff	000000	plain
gfopportunitiesforlinkagespres_2010_en.ppt	97	47	109	http://www.aidspan.org/index.php?page=guides&menu=publicatio	0000ff	000000	plain
gfopportunitiesforlinkagespres_2010_en.ppt	98	156	171	www.aidspan.org	0000ff	000000	plain
gfopportunitiesforlinkagespres_2010_en.ppt	99	250	304	http://www.who.int/hiv/pub/toolkits/GF-Resourcekit/en/	0000ff	000000	plain
gfopportunitiesforlinkagespres_2010_en.ppt	100	434	503	http://www.who.int/globalfund/GuidancePaperGFATM_Final_9Dec_	0000ff	000000	plain
gfopportunitiesforlinkagespres_2010_en.ppt	102	654	721	http://www.theglobalfund.org/documents/rounds/9/GuidanceTool	0000ff	000000	plain
gfopportunitiesforlinkagespres_2010_en.ppt	103	833	857	www.theglobalfund.org/en	0000ff	000000	plain
gfopportunitiesforlinkagespres_2010_en.ppt	110	70	108	http://www.csactionteam.org/index.html	0000ff	000000	plain
gfopportunitiesforlinkagespres_2010_en.ppt	111	275	349	http://www.unaids.org/en/CountryResponses/TechnicalSupport/T	0000ff	000000	plain
gfopportunitiesforlinkagespres_2010_en.ppt	112	432	474	http://www.gtz.de/en/unternehmen/15913.htm	0000ff	000000	plain
ws_prod-g-doc-Events-2007-Approval-of-Flight-Conditions-RM-NAA-16032007.ppt	1132	67	98	allowance, incidental expenses			unseen
ws_prod-g-doc-Events-Part-M-presentation.ppt	283	34	52	www.easa.europa.eu		009999	plain
Inducement-to-Insurance-Business.ppt	23	64	89	jhandsborough@idoi.in.gov	6b9f25	6b9f25	field
Inducement-to-Insurance-Business.ppt	25	18	30	Bulletin 158	6b9f25	000000,6b9f25	plain
Inducement-to-Insurance-Business.ppt	27	37	49	Bulletin 177	6b9f25		unseen
Inducement-to-Insurance-Business.ppt	29	60	76	Bulletin 2015-05	6b9f25	6b9f25	field
ws_prod-g-doc-Events-2007-Privileges.ppt	94	53	66	ase with 21A.		ffffff	plain
ws_prod-g-doc-Events-2007-Privileges.ppt	97	39	52	007 Staring p			unseen
ws_prod-g-doc-Events-2007-Privileges.ppt	105	52	65	hase with 21A		ffffff	plain
ws_prod-g-doc-Events-2007-Privileges.ppt	98	39	52	007 Staring p			unseen
0335fab9-79f0-4944-b92c-f223837ca2d8.ppt	57	143	276	https://www.nhsggc.org.uk/working-with-us/hr-connect/organis	009999	000000,009999	plain
0335fab9-79f0-4944-b92c-f223837ca2d8.ppt	59	358	419	https://learn.nes.nhs.scot/506/leadership-and-management-zon	009999	009999	field
0335fab9-79f0-4944-b92c-f223837ca2d8.ppt	61	459	659	https://learn.nes.nhs.scot/1802/estates-and-facilities-hub/l	009999	009999	field
0335fab9-79f0-4944-b92c-f223837ca2d8.ppt	63	732	846	https://www.nhsggc.org.uk/working-with-us/hr-connect/learnin	009999	000000,009999	plain
0335fab9-79f0-4944-b92c-f223837ca2d8.ppt	71	50	146	https://nes.scot.nhs.uk/education-and-training/by-theme-init	009999	009999	field
0335fab9-79f0-4944-b92c-f223837ca2d8.ppt	73	188	350	https://www.nhsggc.org.uk/about-us/professional-support-site	009999	000000,009999	plain
0335fab9-79f0-4944-b92c-f223837ca2d8.ppt	75	438	535	http://www.knowledge.scot.nhs.uk/ahppe/practice-placements/p	009999	000000	plain
0335fab9-79f0-4944-b92c-f223837ca2d8.ppt	83	164	293	https://www.nhsggc.org.uk/about-us/professional-support-site	009999	000000,009999	plain
0335fab9-79f0-4944-b92c-f223837ca2d8.ppt	85	327	394	http://www.ckp.scot.nhs.uk/Published/PathwayViewer.aspx?file	009999	000000	plain
0335fab9-79f0-4944-b92c-f223837ca2d8.ppt	87	458	500	http://www.knowledge.scot.nhs.uk/home.aspx	009999	000000	plain
ws_prod-g-doc-Events-industrymeeting18112004-Aercap.ppt	2	102	123	evermeulen@aercap.com		009999	plain
Lepore.ppt	24	972	1028	http://www.unoosa.org/oosa/en/COPUOS/stsc/2011/docs.html	009999	009999	field
Lepore.ppt	25	1360	1401	http://www.state.gov/t/avc/rls/160816.htm	009999	009999	field
Lepore.ppt	26	1404	1486	http://www.spacenews.com/military/110413-pentagon-endorses-c	009999	009999	field
Lepore.ppt	30	105	123	debra@DFLspace.com	009999	009999	field
1-secretariat.ppt	13	54	75	craig.spence@aopa.org	3333cc	3333cc	field
1-secretariat.ppt	14	89	110	fhofmann@sympatico.ca	3333cc	3333cc	field
1-secretariat.ppt	15	127	146	ruth.moser@aopa.org	3333cc	3333cc	field
introduction_to_bea_tuxedo.ppt	155	5	20	ions		000000,3333cc	plain
joint_user_outcomes_michael_fullerton_29.06.12.ppt	31	208	316	http://www.dh.gov.uk/prod_consum_dh/groups/dh_digitalassets/	f49100	000000	plain
joint_user_outcomes_michael_fullerton_29.06.12.ppt	32	397	475	http://www.ic.nhs.uk/services/social-care/social-care-collec	f49100	000000	plain
joint_user_outcomes_michael_fullerton_29.06.12.ppt	33	597	699	http://www.dh.gov.uk/en/Publicationsandstatistics/Publicatio	f49100	000000	plain
joint_user_outcomes_michael_fullerton_29.06.12.ppt	34	912	1001	http://www.leadershipdevelopment.nhs.uk/framework/delivering	f49100	000000	plain
joint_user_outcomes_michael_fullerton_29.06.12.ppt	35	1099	1203	http://webarchive.nationalarchives.gov.uk/+/www.dh.gov.uk/en	f49100	000000	plain
joint_user_outcomes_michael_fullerton_29.06.12.ppt	36	1329	1433	http://www.dh.gov.uk/prod_consum_dh/groups/dh_digitalassets/	f49100	000000	plain
8.16_AOD_FINAL_Provider_Training_Presentation_9_2009.ppt	12	65	89	www.acbhcs.org/providers	003366	003366	field
8.16_AOD_FINAL_Provider_Training_Presentation_9_2009.ppt	16	69	93	www.acbhcs.org/providers	003366	003366	field
RESPA_-_Section_8_Webinar.ppt	24	252	358	https://www.philadelphiafed.org/bank-resources/publications/	1e6d37	333e48	plain
