# One-attribute variants of 075_Idea_planner_tasks (frozen at serial 42844), scored as
# `pages ours/ref` and `alnum ours/ref`, before and after `StartsOutsideItsCell` and the
# `NarrowestWrapWidth` clamp.  Every "after" row agrees with 26.2.4.2 exactly.
# The four i* variants were built to separate the indent from the width and were never
# rendered at the round's base, so their "before" is "-" rather than a reconstruction.
variant	what it changes	before	after	ref
v0-control	nothing; the file as it stands	503/484	484/484	484
v1-wide-b	column B 1 -> 40 characters	569/569	569/569	569
v2-empty-c6	the occupied neighbour emptied	498/479	479/479	479
v3-no-wrap	wrapText removed from B6's style	503/503	503/503	503
v4-tall-row	row 6 height -> 200	503/484	484/484	484
v5-b-width-8	column B 1 -> 8	503/503	503/503	503
v6-b-width-3	column B 1 -> 3	503/503	503/503	503
v7-vert-top	vertical center -> top	503/484	484/484	484
v8-w8-tallrow	column B 8 and row 6 height 200	503/503	503/503	503
w1	column B width 1	503/484	484/484	484
w1.25	column B width 1.25	503/484	484/484	484
w1.5	column B width 1.5	503/484	484/484	484
w1.75	column B width 1.75	503/503	503/503	503
w2	column B width 2	503/503	503/503	503
w2.5	column B width 2.5	503/503	503/503	503
w3	column B width 3	503/503	503/503	503
w4	column B width 4	503/503	503/503	503
i0-w1.5-indent1	width 1.5, indent kept	-	484/484	484
i1-w1.5-indent0	width 1.5, indent removed	-	503/503	503
i2-w1-indent0	width 1, indent removed	-	503/503	503
i3-w1.75-indent0	width 1.75, indent removed	-	503/503	503
