path	base_sha	after_sha	moved	base_pages	after_pages	base_glyphs	after_glyphs
sheets/ceiling-001/xls/Template Pilot Logbook JAR-FCL V3.0.xls	89ef6a216e8fd870	89ef6a216e8fd870	no	38	38	5638	5638
sheets/chartset-001/xlsx/001_advanced_excel_bar.xlsx	b9531b46d798b561	b9531b46d798b561	no	3	3	472	472
sheets/chartset-001/xlsx/002_advanced_excel_line.xlsx	0cc6eb82f4986328	0cc6eb82f4986328	no	3	3	466	466
sheets/chartset-001/xlsx/005_advanced_excel_area.xlsx	e1ee795ccc9a4cbc	e1ee795ccc9a4cbc	no	3	3	447	447
sheets/chartset-001/xlsx/006_advanced_excel_scatter.xlsx	7d1be17cfa319c2c	7d1be17cfa319c2c	no	3	3	420	420
sheets/chartset-001/xlsx/016_advanced_excel_radar.xlsx	c66c94ded044ea87	c66c94ded044ea87	no	3	3	422	422
sheets/chartset-001/xlsx/022_advanced_excel_scatter.xlsx	8b3cb91f5e3883c8	8b3cb91f5e3883c8	no	3	3	422	422
sheets/chartset-001/xlsx/025_advanced_excel_bar.xlsx	d02c75d5f19ea3c3	d02c75d5f19ea3c3	no	3	3	440	440
sheets/chartset-001/xlsx/028_advanced_excel_doughnut.xlsx	dde455d7984e0ef5	dde455d7984e0ef5	no	3	3	374	374
sheets/chartset-001/xlsx/032_advanced_excel_radar.xlsx	ce518ff885cf6003	ce518ff885cf6003	no	3	3	412	412
sheets/chartset-001/xlsx/033_advanced_excel_bar.xlsx	f466f091ad39d454	f466f091ad39d454	no	3	3	454	454
sheets/chartset-002/xlsx/003_advanced_excel_pie.xlsx	0423fa7b622fb161	0423fa7b622fb161	no	3	3	479	479
sheets/chartset-002/xlsx/007_advanced_excel_bubble.xlsx	6f366ab522088151	6f366ab522088151	no	3	3	418	418
sheets/chartset-002/xlsx/011_advanced_excel_pie.xlsx	441c146a54a805be	441c146a54a805be	no	3	3	457	457
sheets/chartset-002/xlsx/012_advanced_excel_doughnut.xlsx	0b0f41bf5da1f34e	0b0f41bf5da1f34e	no	3	3	400	400
sheets/chartset-002/xlsx/013_advanced_excel_area.xlsx	686b0ded13bad00a	686b0ded13bad00a	no	3	3	433	433
sheets/chartset-002/xlsx/021_advanced_excel_area.xlsx	85e598ab873805bb	85e598ab873805bb	no	3	3	455	455
sheets/chartset-002/xlsx/026_advanced_excel_line.xlsx	086396ccd12c67c1	086396ccd12c67c1	no	3	3	454	454
sheets/chartset-002/xlsx/027_advanced_excel_pie.xlsx	4b12324dd702a144	4b12324dd702a144	no	3	3	451	451
sheets/chartset-002/xlsx/030_advanced_excel_scatter.xlsx	d118336c68a6d1c5	d118336c68a6d1c5	no	3	3	421	421
sheets/chartset-002/xlsx/034_advanced_excel_line.xlsx	494b8a0d1fad991a	494b8a0d1fad991a	no	3	3	465	465
sheets/chartset-003/xlsx/004_advanced_excel_doughnut.xlsx	373c26b734f07d3a	373c26b734f07d3a	no	3	3	375	375
sheets/chartset-003/xlsx/008_advanced_excel_radar.xlsx	ae95c620fd911fd8	ae95c620fd911fd8	no	3	3	415	415
sheets/chartset-003/xlsx/014_advanced_excel_scatter.xlsx	98ece8b0498d9ea5	98ece8b0498d9ea5	no	3	3	432	432
sheets/chartset-003/xlsx/015_advanced_excel_bubble.xlsx	be4d292ae88514c8	be4d292ae88514c8	no	3	3	428	428
sheets/chartset-003/xlsx/017_advanced_excel_bar.xlsx	6e2ab4d689bb8b1d	6e2ab4d689bb8b1d	no	3	3	488	488
sheets/chartset-003/xlsx/018_advanced_excel_line.xlsx	4fcb3dfcc62f9db2	4fcb3dfcc62f9db2	no	3	3	447	447
sheets/chartset-003/xlsx/020_advanced_excel_doughnut.xlsx	5fb505a284b545d7	5fb505a284b545d7	no	3	3	374	374
sheets/chartset-003/xlsx/024_advanced_excel_radar.xlsx	ba8e558ea5ea4315	ba8e558ea5ea4315	no	3	3	423	423
sheets/chartset-003/xlsx/029_advanced_excel_area.xlsx	c35816de30708c6d	c35816de30708c6d	no	3	3	444	444
sheets/chartset-003/xlsx/031_advanced_excel_bubble.xlsx	50a5aaa18e5d082e	50a5aaa18e5d082e	no	3	3	404	404
sheets/chartset-004/xlsx/009_advanced_excel_bar.xlsx	b62c810664cd4129	b62c810664cd4129	no	3	3	495	495
sheets/chartset-004/xlsx/010_advanced_excel_line.xlsx	1d87e9bdc8575485	1d87e9bdc8575485	no	3	3	461	461
sheets/chartset-004/xlsx/019_advanced_excel_pie.xlsx	dd15b58b274984ad	dd15b58b274984ad	no	3	3	476	476
sheets/chartset-004/xlsx/023_advanced_excel_bubble.xlsx	bc92b0cb8811678a	bc92b0cb8811678a	no	3	3	425	425
sheets/chartset-004/xlsx/DynamicBubbleChart.xlsx	9fa3ee3ba076a551	9fa3ee3ba076a551	no	5	5	1723	1723
sheets/chartset-004/xlsx/microsoft_learn_multi_chart_examples.xlsx	b5894b45fafae06c	b5894b45fafae06c	no	5	5	839	839
sheets/chartset-005/xlsx/004_Contextures_chart_sample_de7c0671.xlsx	4773491d80e4491d	4773491d80e4491d	no	4	4	879	879
sheets/chartset-005/xlsx/022_Pareto_Chart_Template_-_Pareto_Analysis_in_Excel_with_Pareto_Diagram_82b5a874.xlsx	00d5dc315a1153ef	00d5dc315a1153ef	no	2	2	941	941
