path	status	pages	glyphs	sha256
/home/user/sample-files/sheets/ceiling-001/xls/Template Pilot Logbook JAR-FCL V3.0.xls	ok	38	5638	89ef6a216e8fd87097afcf26192288c29c46f0427b0597f83c71778cbf6d86fe
/home/user/sample-files/sheets/ceiling-001/xlsx/2017-04-27-Lease-Transition-Records-Checklist-FINAL-1.xlsx	ok	5	13250	d7f616ce36fac67c13718edb6ccc83d2724ca5da34289b7b4cd0090e1bf78152
/home/user/sample-files/sheets/ceiling-001/xlsx/2020-01-29-Lease-Transition-Records-Checklist-FINAL-1.xlsx	ok	5	13250	f406d6cd52b0b754c7387700c79f55931e392e1aaac98f28bdcf7ce56db8881c
/home/user/sample-files/sheets/ceiling-001/xlsx/EASA-IFP-145Scope(WEB)_ALL_ValidF145SOA_2022-12-16-04-31-58_0.xlsx	ok	114	188829	e76cdfbc9ef6f697e152939cce7b1a0b1f652cf792904918ebcc5460e1c1fd95
/home/user/sample-files/sheets/ceiling-001/xlsx/EASA-IFP-WEBLISTNOODATA-ListsofForeignapprovals(WEB)_NewChart_2022-08-05-03-31-32.xlsx	ok	19	31382	5fe145139846c4948329f327e6f9fe1e662f64f26bc46927b5c053abc16922c8
/home/user/sample-files/sheets/chartset-001/xlsx/001_advanced_excel_bar.xlsx	ok	3	472	b9531b46d798b56124b5675c3994831087151d2a867833c78a2b1f5b2dd45c12
/home/user/sample-files/sheets/chartset-001/xlsx/002_advanced_excel_line.xlsx	ok	3	466	0cc6eb82f498632833c42177eaea556edb6aa5c13781d870f1f810e955ac33a6
/home/user/sample-files/sheets/chartset-001/xlsx/005_advanced_excel_area.xlsx	ok	3	447	e1ee795ccc9a4cbc0368ffd8b22a848b9545947fd205fe80454a0028a09c6e69
/home/user/sample-files/sheets/chartset-001/xlsx/006_advanced_excel_scatter.xlsx	ok	3	420	7d1be17cfa319c2c02f79bb927e3908dd8f70c7ecd39cdcd0d4c2ff661944680
/home/user/sample-files/sheets/chartset-001/xlsx/016_advanced_excel_radar.xlsx	ok	3	422	c66c94ded044ea87a8d342e9bb5e5650369eab7b4f25c7112652ab563adab4b1
/home/user/sample-files/sheets/chartset-001/xlsx/022_advanced_excel_scatter.xlsx	ok	3	422	8b3cb91f5e3883c837640a951cca4b75124d2e3ec19a9a22381c39f3d57195c4
/home/user/sample-files/sheets/chartset-001/xlsx/025_advanced_excel_bar.xlsx	ok	3	440	d02c75d5f19ea3c3089f402b1f42fa1ff54b52ff321b42214ab2879642cd55c8
/home/user/sample-files/sheets/chartset-001/xlsx/028_advanced_excel_doughnut.xlsx	ok	3	374	dde455d7984e0ef5e3e8655b23a352f72b651971549286fc7f557a062797a038
/home/user/sample-files/sheets/chartset-001/xlsx/032_advanced_excel_radar.xlsx	ok	3	412	ce518ff885cf6003720a9ff0c155761a8f36379ae229b2cd43991110417a6a83
/home/user/sample-files/sheets/chartset-001/xlsx/033_advanced_excel_bar.xlsx	ok	3	454	f466f091ad39d454ecd9c11c2e13f46cc9ccc3b873a6ab4ff092836711d35b66
