label	face	size	kind	group	tabtwips	page	x0	x1	rx	nrules	cover	contiguous	spans
L000	Liberation Serif	8	under	span	0	1	56.69	73.58		1	185.34	1	56.69-242.03
L001	Liberation Serif	8	under	span	0	1	56.69	73.58		1	258.54	1	56.69-315.23
L002	Liberation Serif	8	under	span	0	1	56.69	73.58		1	331.59	1	56.69-388.28
L003	Liberation Serif	8	under	span	0	1	56.69	73.58		1	404.89	1	56.69-461.58
L004	Liberation Serif	8	over	span	0	1	56.69	73.58		0	0.00	0	
L005	Liberation Serif	8	over	span	0	1	56.69	73.58		0	0.00	0	
L006	Liberation Serif	8	over	span	0	1	56.69	73.58		0	0.00	0	
L007	Liberation Serif	8	over	span	0	1	56.69	73.58		0	0.00	0	
L008	Liberation Serif	8	strike	span	0	1	56.69	73.58		1	185.34	1	56.69-242.03
L009	Liberation Serif	8	strike	span	0	1	56.69	73.58		1	258.54	1	56.69-315.23
L010	Liberation Serif	8	strike	span	0	1	56.69	73.58		1	331.59	1	56.69-388.28
L011	Liberation Serif	8	strike	span	0	1	56.69	73.28		1	404.89	1	56.69-461.58
L012	Liberation Serif	10	under	span	0	1	56.69	77.80		1	186.67	1	56.69-243.36
L013	Liberation Serif	10	under	span	0	1	56.69	77.80		1	259.87	1	56.69-316.56
L014	Liberation Serif	10	under	span	0	1	56.69	77.80		1	332.92	1	56.69-389.61
L015	Liberation Serif	10	under	span	0	1	56.69	77.80		1	406.22	1	56.69-462.91
L016	Liberation Serif	10	over	span	0	1	56.69	77.80		0	0.00	0	
L017	Liberation Serif	10	over	span	0	1	56.69	77.80		0	0.00	0	
L018	Liberation Serif	10	over	span	0	1	56.69	77.80		0	0.00	0	
L019	Liberation Serif	10	over	span	0	1	56.69	77.80		0	0.00	0	
L020	Liberation Serif	10	strike	span	0	1	56.69	77.80		1	186.67	1	56.69-243.36
L021	Liberation Serif	10	strike	span	0	1	56.69	77.80		1	259.87	1	56.69-316.56
L022	Liberation Serif	10	strike	span	0	1	56.69	77.80		1	332.92	1	56.69-389.61
L023	Liberation Serif	10	strike	span	0	1	56.69	77.80		1	406.22	1	56.69-462.91
L024	Liberation Serif	14	under	span	0	1	56.69	86.25		1	189.34	1	56.69-246.03
L025	Liberation Serif	14	under	span	0	1	56.69	86.25		1	262.54	1	56.69-319.23
L026	Liberation Serif	14	under	span	0	1	56.69	86.25		1	335.59	1	56.69-392.28
L027	Liberation Serif	14	under	span	0	1	56.69	86.25		1	408.89	1	56.69-465.58
L028	Liberation Serif	14	over	span	0	1	56.69	86.25		0	0.00	0	
L029	Liberation Serif	14	over	span	0	2	56.69	86.25		0	0.00	0	
L030	Liberation Serif	14	over	span	0	2	56.69	86.25		0	0.00	0	
L031	Liberation Serif	14	over	span	0	2	56.69	86.25		0	0.00	0	
L032	Liberation Serif	14	strike	span	0	2	56.69	86.25		1	189.34	1	56.69-246.03
L033	Liberation Serif	14	strike	span	0	2	56.69	86.25		1	262.54	1	56.69-319.23
L034	Liberation Serif	14	strike	span	0	2	56.69	86.25		1	335.59	1	56.69-392.28
L035	Liberation Serif	14	strike	span	0	2	56.69	86.25		1	408.89	1	56.69-465.58
L036	Liberation Sans	8	under	span	0	2	56.69	74.48		1	185.78	1	56.69-242.47
L037	Liberation Sans	8	under	span	0	2	56.69	74.48		1	258.98	1	56.69-315.67
L038	Liberation Sans	8	under	span	0	2	56.69	74.48		1	332.03	1	56.69-388.72
L039	Liberation Sans	8	under	span	0	2	56.69	74.48		1	405.33	1	56.69-462.02
L040	Liberation Sans	8	over	span	0	2	56.69	74.48		0	0.00	0	
L041	Liberation Sans	8	over	span	0	2	56.69	74.48		0	0.00	0	
L042	Liberation Sans	8	over	span	0	2	56.69	74.48		0	0.00	0	
L043	Liberation Sans	8	over	span	0	2	56.69	74.48		0	0.00	0	
L044	Liberation Sans	8	strike	span	0	2	56.69	74.48		1	185.78	1	56.69-242.47
L045	Liberation Sans	8	strike	span	0	2	56.69	74.48		1	258.98	1	56.69-315.67
L046	Liberation Sans	8	strike	span	0	2	56.69	74.48		1	332.03	1	56.69-388.72
L047	Liberation Sans	8	strike	span	0	2	56.69	74.48		1	405.33	1	56.69-462.02
L048	Liberation Sans	10	under	span	0	2	56.69	78.93		1	187.22	1	56.69-243.91
L049	Liberation Sans	10	under	span	0	2	56.69	78.93		1	260.42	1	56.69-317.11
L050	Liberation Sans	10	under	span	0	2	56.69	78.93		1	333.47	1	56.69-390.16
L051	Liberation Sans	10	under	span	0	2	56.69	78.93		1	406.77	1	56.69-463.46
L052	Liberation Sans	10	over	span	0	2	56.69	78.93		0	0.00	0	
L053	Liberation Sans	10	over	span	0	2	56.69	78.93		0	0.00	0	
L054	Liberation Sans	10	over	span	0	2	56.69	78.93		0	0.00	0	
L055	Liberation Sans	10	over	span	0	2	56.69	78.93		0	0.00	0	
L056	Liberation Sans	10	strike	span	0	2	56.69	78.93		1	187.22	1	56.69-243.91
L057	Liberation Sans	10	strike	span	0	3	56.69	78.93		1	260.42	1	56.69-317.11
L058	Liberation Sans	10	strike	span	0	3	56.69	78.93		1	333.47	1	56.69-390.16
L059	Liberation Sans	10	strike	span	0	3	56.69	78.93		1	406.77	1	56.69-463.46
L060	Liberation Sans	14	under	span	0	3	56.69	87.83		1	190.11	1	56.69-246.80
L061	Liberation Sans	14	under	span	0	3	56.69	87.83		1	263.31	1	56.69-320.00
L062	Liberation Sans	14	under	span	0	3	56.69	87.83		1	336.36	1	56.69-393.05
L063	Liberation Sans	14	under	span	0	3	56.69	87.83		1	409.66	1	56.69-466.35
