name	ours_lines	ref_lines	dlines	ours_pitch	ref_pitch	ours_pg	ref_pg
014_Project_Timeline_Template_Blue_and_Green_Theme_a8311fa1	19	18	1	13.50	13.50	1	1
014_advanced_word_chart_report	19	19	0	17.10	14.50	1	1
015_Project_Timeline_Template_Colored_Background_6434b0e8	18	4	14	28.80	32.60	1	1
015_advanced_word_chart_report	19	19	0	17.10	14.50	1	1
016_Project_Timeline_Template_Complete_Guide_7d36d09c	28	4	24	18.70	19.50	1	1
016_advanced_word_chart_report	19	19	0	17.10	14.50	1	1
017_Project_Timeline_Template_Customizable_Format_5d5ca2e8	36	46	-10	11.30	5.20	1	1
017_advanced_word_chart_report	19	19	0	17.10	14.50	1	1
018_Project_Timeline_Template_Editable_Format_e1cf1df5	27	5	22	19.60	19.00	1	1
018_advanced_word_chart_report	19	19	0	17.10	14.50	1	1
019_Project_Timeline_Template_Excellent_Layout_4ee62967	21	19	2	13.90	14.00	1	1
019_advanced_word_chart_report	19	19	0	17.10	14.50	1	1
020_Project_Timeline_Template_Modern_Theme_0c215d87	19	6	13	28.80	14.20	1	1
020_advanced_word_chart_report	19	19	0	17.10	14.50	1	1
021_Unit_Circle_Chart_3D_Pie_Chart_404247ab	14	8	6	17.10	12.80	1	1
021_advanced_word_chart_report	19	19	0	17.10	14.50	1	1
022_Unit_Circle_Chart_Circle_A_and_B_19dbf275	37	37	0	11.70	11.70	1	1
022_advanced_word_chart_report	19	19	0	17.10	14.50	1	1
023_Unit_Circle_Chart_Circular_Percentage_790f7b75	17	9	8	17.20	12.80	1	1
023_advanced_word_chart_report	19	19	0	17.10	14.50	1	1
024_Unit_Circle_Chart_Colorful_Circles_7c92601e	10	9	1	12.80	12.80	1	1
024_advanced_word_chart_report	19	19	0	17.10	14.50	1	1
025_Unit_Circle_Chart_Cos_and_Sin_Model_1ed01892	10	10	0	12.80	12.80	1	1
025_advanced_word_chart_report	19	19	0	17.10	14.50	1	1
026_Unit_Circle_Chart_Four_Quadrants_09bf3ed1	6	5	1	12.80	12.80	1	1
026_advanced_word_chart_report	19	19	0	17.10	14.50	1	1
027_Unit_Circle_Chart_Graphical_Chart_5462a579	64	41	23	7.60	11.70	1	1
027_advanced_word_chart_report	19	19	0	17.10	14.50	1	1
028_Unit_Circle_Chart_Optimized_Graph_83d9c756	61	10	51	5.10	11.70	1	2
028_advanced_word_chart_report	19	19	0	17.10	14.50	1	1
029_Unit_Circle_Chart_Pie_Theme_8a922142	8	7	1	12.80	12.80	1	1
029_advanced_word_chart_report	19	19	0	17.10	14.50	1	1
02_mcar_part-2_and_IS_v2.10	10860	10872	-12	12.80	12.80	318	318
030_Unit_Circle_Chart_Points_System_23b5ef07	7	7	0	12.80	12.80	1	1
030_advanced_word_chart_report	19	19	0	17.10	14.50	1	1
031_Venn_Diagram_Template_Blue_Theme_a9e417b8	45	27	18	5.60	9.30	1	1
031_advanced_word_chart_report	19	19	0	17.10	14.50	1	1
032_Venn_Diagram_Template_Brown_Theme_d5b549f0	27	26	1	8.90	8.30	1	1
032_advanced_word_chart_report	19	19	0	17.10	14.50	1	1
033_Venn_Diagram_Template_Colored_Theme_2aea6697	9	9	0	44.40	44.40	1	1
033_advanced_word_chart_report	19	19	0	17.10	14.50	1	1
034_Venn_Diagram_Template_Customizable_Format_d14642b7	8	8	0	12.50	12.50	1	1
035_Venn_Diagram_Template_Editable_Format_966dff5f	7	7	0	21.50	21.30	1	1
036_Venn_Diagram_Template_Fillable_Layout_3ffbba36	5	5	0	58.80	58.80	1	1
037_Venn_Diagram_Template_Four_Circle_764829a0	13	13	0	14.00	14.00	1	1
038_Venn_Diagram_Template_Off_White_and_Blue_Theme_9dff385e	13	13	0	17.70	17.70	1	1
039_Venn_Diagram_Template_Simple_Format_6f82661d	22	22	0	12.50	12.50	1	1
03_Technical_Report_(progress)_template	220	295	-75	13.40	13.40	11	11
040_Venn_Diagram_Template_Three_Circle_80f32f5e	45	27	18	5.60	9.30	1	1
041_Visual_Product_Roadmap_Template_Blank_Format_63a3e010	6	5	1	33.50	33.50	1	1
042_Visual_Product_Roadmap_Template_Colored_Background_89385cfb	23	22	1	24.00	18.80	2	1
043_Visual_Product_Roadmap_Template_Customizable_Format_ee0fe5b1	44	42	2	10.40	10.40	1	1
044_Visual_Product_Roadmap_Template_Editable_Format_c232a2c0	23	23	0	14.80	15.00	1	1
045_Visual_Product_Roadmap_Template_Excellent_Format_e364063c	20	19	1	15.40	15.40	1	1
046_Visual_Product_Roadmap_Template_Fillable_Format_582acab0	16	15	1	13.50	13.50	1	1
047_Visual_Product_Roadmap_Template_Professional_Layout_2ff4499e	13	13	0	44.30	45.20	1	1
048_Visual_Product_Roadmap_Template_Quality_Layout_f38f7aee	23	22	1	16.30	17.90	2	2
049_Visual_Product_Roadmap_Template_Simple_Format_4af26e4f	24	23	1	17.60	18.10	1	1
050_Visual_Product_Roadmap_Template_Yellow_and_Blue_Theme_49b50744	34	33	1	12.80	12.80	1	1
051_Organogram_Template_Basic_Theme_e6464d06	0	0	0	0.00	0.00	1	1
052_Organogram_Template_Colorful_Flow_Chart_cba9fbfe	0	0	0	0.00	0.00	1	1
053_Organogram_Template_Creative_Theme_21657a3d	0	0	0	0.00	0.00	1	1
054_Organogram_Template_Grey_Vertical_Theme_b2dbd9a8	0	0	0	0.00	0.00	1	1
055_Organogram_Template_Horizontal_Structure_28a7e725	0	0	0	0.00	0.00	1	1
056_Organogram_Template_Square_Theme_38f373d4	2	2	0	16.30	16.30	1	1
057_Organogram_Template_Vertical_Colorful_Theme_724b143c	0	0	0	0.00	0.00	1	1
058_Organogram_Template_With_Picture_Theme_44b79368	0	0	0	0.00	0.00	1	1
059_Disease_Concept_Map_Template_4acf63f2	14	12	2	28.20	50.30	1	1
060_Human_Body_Concept_Map_Template_ac872cfb	7	6	1	76.50	76.50	1	1
061_Nursing_Concept_Map_Template_fb9816f0	16	14	2	10.10	11.70	1	1
062_Vocabulary_Concept_Map_Template_2f7c1c09	6	5	1	98.30	206.30	1	1
063_Foot_Reflexology_Chart_Complete_Guide_cf5ed992	7	6	1	13.50	13.50	1	1
064_Foot_Reflexology_Chart_Customizable_Format_79b7db06	21	16	5	18.60	16.50	1	1
065_Work_Breakdown_Structure_Template_Blue_Theme_2b207f62	13	12	1	21.00	18.80	1	1
066_Work_Breakdown_Structure_Template_Colored_Background_c27ff248	4	3	1	110.20	405.20	1	1
067_Work_Breakdown_Structure_Template_Gray_Theme_89f8be8b	6	5	1	25.60	44.00	1	1
068_Work_Breakdown_Structure_Template_Green_Theme_63e69ed8	5	5	0	35.90	26.40	1	1
069_Work_Breakdown_Structure_Template_Professional_Format_1e02dce1	5	4	1	106.50	84.70	1	1
07-04	119	119	0	13.80	13.80	3	3
070_Storyboard_Template_Blank_Format_fc41673a	0	0	0	0.00	0.00	1	1
071_Storyboard_Template_Cartoon_Theme_ae113de2	4	3	1	19.50	29.30	1	1
072_Storyboard_Template_Colored_Theme_28524a15	0	0	0	0.00	0.00	1	1
073_Storyboard_Template_Easy_to_Use_44ce05fc	0	0	0	0.00	0.00	1	1
074_Storyboard_Template_Editable_Design_132436d1	3	3	0	16.80	16.80	1	1
075_Storyboard_Template_Fillable_Format_7fa01641	0	0	0	0.00	0.00	1	1
076_Storyboard_Template_Gray_Theme_1e5fd5e5	1	1	0	0.00	0.00	1	1
077_Storyboard_Template_Pink_and_Blue_Theme_805e82ab	4	3	1	29.30	93.20	1	1
078_Storyboard_Template_Pink_and_Gray_Theme_ea89553f	0	0	0	0.00	0.00	1	1
079_Storyboard_Template_Simple_Format_81653703	3	2	1	32.90	55.80	1	1
080_Printable_Graph_Paper_Template_Black_Theme_6b066be1	3	3	0	30.60	30.60	1	1
081_Printable_Graph_Paper_Template_Blue_Theme_629316cb	3	3	0	334.80	39.10	1	1
082_Printable_Graph_Paper_Template_Colored_Background_9092cf9b	2	2	0	734.40	734.40	1	1
083_Printable_Graph_Paper_Template_Customizable_Format_55ff93a3	2	2	0	36.50	47.50	1	1
084_Printable_Graph_Paper_Template_Editable_Layout_d66c6820	4	2	2	12.10	731.90	1	1
085_Printable_Graph_Paper_Template_Excellent_Format_4bcae89a	2	2	0	750.30	737.40	1	1
086_Printable_Graph_Paper_Template_Gray_Theme_7300e5d7	2	2	0	427.50	482.70	1	1
087_Printable_Graph_Paper_Template_Green_Theme_0c14ea04	11	11	0	84.10	84.10	1	1
088_Printable_Graph_Paper_Template_Quality_layout_33051f6e	1	1	0	0.00	0.00	1	1
089_Printable_Graph_Paper_Template_Simlpe_Format_3aff1c88	3	2	1	15.60	26.10	1	1
090_Business_Case_Template_Blue_Theme_108ff0f1	17	17	0	36.90	36.90	1	1
091_Business_Case_Template_Complete_Guide_cb91a140	127	126	1	13.00	17.80	5	5
092_Business_Case_Template_Convenient_Format_00786cce	124	122	2	15.00	15.40	8	8
093_Business_Case_Template_Customizable_Layout_510c25e7	15	15	0	61.80	71.60	1	1
094_Business_Case_Template_Decent_Layout_e7722f2b	13	13	0	66.20	82.50	1	2
095_Business_Case_Template_Easy_Format_61de7128	27	27	0	20.60	20.60	1	1
096_Business_Case_Template_Editable_Layout_41fe0bc0	17	17	0	33.40	36.00	1	2
097_Business_Case_Template_Elegant_Layout_3ba9cbf2	12	17	-5	45.40	30.60	2	2
098_Business_Case_Template_Fillable_Layout_d0c5410e	17	17	0	21.70	21.70	1	1
099_Business_Case_Template_Gray_Theme_ac3edbf4	19	19	0	29.10	29.10	1	1
09	40	40	0	15.80	15.80	2	2
0c662f5c948a7d81d32ffd833c5cc59421a5f522	40	40	0	12.70	12.70	1	1
100_Business_Case_Template_Modern_Format_ff9e7282	26	26	0	17.70	17.70	5	5
10795	135	131	4	20.30	27.60	4	4
120509coss	655	655	0	13.80	13.80	25	25
1228841571067_2009_TPPT_13__2007_TPPT_102__R-108535759	263	257	6	20.70	20.70	12	11
1244277 1 Comment	51	51	0	11.70	11.70	2	2
1245685 1 Comment	36	35	1	12.20	12.20	1	1
1257259179492_2007_TPPT_102_Supporting_Doc_2-434003080	183	183	0	20.70	20.70	9	9
135	560	555	5	13.80	13.80	14	14
1447	109	107	2	14.00	14.00	4	3
150-5370-10H	27620	27670	-50	12.70	13.50	642	746
150_5300_13_chg10	2388	2779	-391	11.50	11.00	57	77
150_5300_13_chg12	1381	1280	101	11.50	11.50	33	33
150_5300_13_chg8	762	876	-114	11.50	11.50	17	19
150_5335_5a	1939	1923	16	13.80	13.80	64	65
1528039320	48	64	-16	16.50	12.70	1	2
1528364855	191	192	-1	9.20	10.10	3	3
1603642410-MoM-CASCOM-06-2020-draft04	454	465	-11	12.20	12.20	9	9
19-06 Assistive Technology TAB Final - 508	301	267	34	14.70	14.70	8	8
191216_Lesefassung_Nachtflugregelung	126	126	0	12.70	12.70	3	3
195584360	843	879	-36	11.60	11.60	22	51
1_tpr_template__from_fy14_	323	318	5	13.40	13.40	10	10
20110608_psp	91	87	4	17.00	17.00	4	3
2013-op12-Annex III - Curriculum Vitae	107	105	2	11.70	11.70	3	3
2013_11	293	309	-16	12.70	13.80	8	9
2015-April-SWIM_Users_Forum-Q&A	178	176	2	13.80	13.80	5	5
2024-12_Comlux_opens_Maintenance_and_Service_Center_in_Dubai	61	61	0	15.90	15.90	3	3
2024-2nd-quarter-case-summaries	414	412	2	13.80	13.80	10	10
231164_SystemDesignDocument	883	726	157	14.00	13.80	24	21
237287_0486190101_0486190101_geolink2neu	191	210	-19	9.30	9.30	6	8
24-25_FAA_Holdover_Tables	6444	6721	-277	10.30	10.40	143	223
2ca950374241722b8ea7c132dfce63ae	159	168	-9	11.30	10.30	3	3
300502-Mecenat-Airbus-Simusante_CHU-Amiens-Picardie	37	37	0	12.70	12.70	1	1
316r_a_e	467	467	0	13.80	12.70	14	14
316r_a_f	481	480	1	13.80	12.70	14	14
33004	1449	1448	1	13.80	13.80	49	47
361400CSLegislation1RF01PUBLIC1	1120	1091	29	20.70	20.70	36	35
4400-91_Proposal_To_Lease_Space_10-2024	316	323	-7	11.60	11.60	6	7
461249	158	158	0	14.90	14.90	5	5
5709.16 ch.40_mgfinal	1091	968	123	13.80	13.80	31	29
62599_FRANCE-BRAZIL- Air France Flight 447 crash	568	498	70	17.10	13.50	21	16
644730BRI0mna000BOX361539B00public0	253	249	4	11.60	11.60	4	4
762	937	925	12	11.70	11.80	21	24
96-3-clement-data	186	186	0	20.70	20.70	7	7
A1. EASA Form 2	301	325	-24	14.10	13.80	7	8
A320SimNotes	2062	2043	19	11.60	11.60	41	42
A380MaenPressRel	76	75	1	12.30	16.40	3	3
AAC-AD-No-2021-01-Boeing-737-8-and-737-9-MAX	747	749	-2	16.00	16.00	21	21
ABCD-FE-01-00 Flight Envelope - v1 08.03.16	708	607	101	13.50	13.50	14	14
ABCD-SDE-23-00 - Avionic System Description - 17.02.16 - v1	1629	1590	39	13.50	13.50	41	41
ABCD-WB-08-00 Weight and Balance Report - v1 08.03.16	490	442	48	13.40	13.50	12	12
AC-150-5370-10G-updated-201604	26161	25540	621	12.70	13.50	650	667
AFS-050-004-F2_0i	361	305	56	11.60	11.60	8	8
AUWG min 4-3-24 final	50	50	0	13.50	13.50	2	2
AW-104D-RVSM-Aircraft-Approval-Checklist.pdf	33	54	-21	20.80	12.50	2	2
AWR OPS-AOC 044 Statement of Compliance RVSM  Rev 04 01 Feb 2024	482	500	-18	13.20	13.20	11	10
A_320	3569	3530	39	15.60	15.60	124	134
Agile_Arc_SysDes	719	622	97	20.70	13.50	24	20
AirbusCallouts	1515	1632	-117	9.30	9.30	25	25
Allegiant_Company_Profile_with_History	103	97	6	11.50	12.20	3	3
Annex-10-to-the-Aircraft-Maintenance-Specialist-Certification-Rule-GCAA	7677	6999	678	11.50	11.80	169	148
B11. TE.CAO.00129  Experience  logbook	160	183	-23	10.60	12.20	7	8
BID_ACKNOWLEDGEMENT_FORM_FOR_A320	54	54	0	21.40	15.20	3	3
Bull01-06-Reserve Training Standards	137	137	0	13.80	13.80	6	6
CMTA_Airport_Transportation	24	24	0	13.80	14.20	1	1
CP-ETSO template_v2020	182	182	0	11.70	12.10	6	6
CRIF - SpÃ©cification technique - Socle applicatif	776	942	-166	13.80	13.80	28	28
CSCRS_Technical-Report-Documentation-Page-with-instructions	75	70	5	11.60	12.20	2	2
Case-Study-Heathrow-Airport	112	111	1	13.50	13.50	3	3
Checklist for TC STC ETSO data packages to FAA_TIP rev 5	102	102	0	19.40	19.40	3	3
Company-profile-2022-EN	149	143	6	12.80	12.80	5	5
Contract_Check_Pilot_Sample_LOA	120	120	0	13.80	13.80	4	4
DEP2008-1900	120	120	0	12.90	16.20	3	3
DOA_Template_Form_Type_Certification_Programme	679	660	19	11.20	10.60	25	19
DRX-Ascend System Course Description	68	68	0	15.50	15.50	2	2
ECSS-E-ST-50-16C-Annex-A(30September2021)	126	122	4	18.50	19.80	4	4
EHEST-SMS-Safety-Management-Manual-V2	2367	2288	79	14.00	17.50	82	81
ESPN-R - MCF - Manual - Ed1.0 - For Publication	1122	1540	-418	14.50	14.50	34	42
ESPN-R - MCF - RA - Ed1	2313	2608	-295	9.80	10.30	52	46
FAA 2025-26 Holdover Tables	7193	7383	-190	10.30	10.40	156	233
FAA-2013-0422-0009_attachment_1	208	208	0	13.80	13.80	7	7
FAA-2017-0628-0002_attachment_1	66	60	6	27.60	27.60	5	4
FAA-High-Level-Org-Chart	85	85	0	15.40	15.50	3	3
FG-AI4NDM-TR-skeleton_template	92	91	1	19.80	19.80	5	5
FMRBullletinB-28	60	59	1	13.80	13.80	2	2
FO.FCTOA.00010 Application for a Part-ORA ATO Approval	666	678	-12	14.50	14.50	15	16
FO.FCTOA_.000129 Application for activities related to FSTD	307	300	7	13.40	13.50	6	7
FRE-03_mcar_part-3_and_IS_v2.9	3292	2762	530	12.80	15.30	76	70
FlightLaws	195	181	14	5.00	8.30	4	4
Form-SM-76A-_-CAR-OPS-2A-Instruments-and-Equipment-Compliance-Statement-_-11	96	97	-1	16.80	15.30	3	3
GLACIERBG.ETT	35	34	1	17.00	17.00	1	1
HC-Bulletin-template	122	7	115	15.30	30.20	5	1
How-to-Write-an-Architecture-Document-for-a-Technology-Service	117	112	5	14.00	14.00	3	3
II.1.2_Hypoxia	436	436	0	13.80	13.80	12	13
Interview-mit-Manfred1-Müller	70	70	0	15.50	15.50	2	2
JEMIT_Template	256	236	20	11.50	11.50	5	4
LENTOBUSSIAIKATAULU.-31.10.-31.12.2022	31	31	0	16.10	16.10	1	1
LHD-230-application-for-the-approval-of-an-aircraftr	85	84	1	10.40	10.40	2	2
Leadership Information Article	112	112	0	13.50	13.50	4	4
Lessons-Learned-Bulletin-Dorset-version-to-IIRG-V5	126	126	0	12.70	12.70	3	3
License App Instructions 2-22	109	106	3	13.80	13.80	3	3
May 25 bulletin focus on carers in the workplace	52	64	-12	13.40	13.40	5	4
OM template for non-complex NCC operators_August 2016	6320	6313	7	13.20	13.20	164	171
P200904290238_0238_51880	107	109	-2	10.70	11.20	3	3
PAT-047 - Architecture and Detailed Design Assessment	112	113	-1	13.10	12.80	4	4
PES-Technical-Report-Template_Jan_2019	320	331	-11	13.80	16.10	13	17
PI-doc.-no.-2E-Technical-Review-Report	265	297	-32	13.80	13.80	10	10
PK_FlugzeugeStricken	208	207	1	20.20	20.20	7	7
PM-apeech-Handover-of-New-Airbus-Aircraft-for-Fiji-Airways-Dec.-15th	94	94	0	31.40	31.40	5	5
PUR-0012-UTAS-GRAMS-SPA-Template-1-25-2024	152	152	0	13.80	13.80	6	6
Pre-Application_Letter_of_Intent_Example	38	34	4	13.80	13.50	2	1
Press release_EUREKA labels ITEA 3 Cluster	68	69	-1	13.80	13.80	2	2
RMI_Document_Repository_Public-Reprts_GettingOffOil	264	215	49	17.30	13.80	8	6
RNW167A-150428	320	320	0	14.20	14.20	9	9
Regulations Governing the Status, Basic Rights and Duties of Officials other than Secretariat Officials, and Experts on Mission	375	34	341	11.70	21.80	11	4
Reid	143	142	1	13.80	13.80	4	4
RobertQ_Service	87	87	0	25.30	25.30	4	4
SDL_FSDO_Part91_LOA_Checklist	57	56	1	14.00	15.50	2	2
SFSP_2013-02_Bulletin	111	111	0	13.80	13.80	4	4
SPA-02_mcar_part-2_and_IS_v2.9	12068	12062	6	12.80	12.80	273	273
SPA-06_mcar_part-6_and_IS_v2.9	3719	3710	9	12.80	12.80	88	88
SPA-11_mcar_part-11_v2.9	1903	1714	189	12.80	13.50	50	47
SWDD-template	143	139	4	22.10	21.90	6	6
Sample_PAO-PSO_91-113_Letter	34	34	0	18.30	18.30	1	1
Sample_SQMS_Program	1769	1818	-49	13.80	16.50	60	77
Service-Bulletin-SDFNR5-April-25-2023-FNR-TRANSMISSION-LUBRICATION	28	28	0	27.60	27.60	1	1
Software Architecture Document Template	81	80	1	13.80	13.80	3	3
Sol PJ14-03-04 Solution Contextual	195	197	-2	13.50	13.50	5	6
TE.CAO.00125 Foreign Part 145 approvals - OJT Logbook	458	457	1	14.00	14.60	17	26
Technical Report and Technical Update Guidelines	130	126	4	16.80	16.40	4	4
Technical_Issue_Report_Form	71	71	0	18.90	18.90	2	2
Temp16	64	61	3	11.50	11.50	2	2
Theft-Restitution-Letter-Vancouver-ASC-2005	33	33	0	13.80	13.80	1	1
UAS-SGI_waiver_approval_request_form	74	74	0	19.90	19.90	3	3
UG.CAO.00006 Foreign Part 145 approvals - User Guide for Applicants & Approval Holders	699	676	23	12.80	12.80	30	29
Wales_Office_Quarter_4_Ministerial_Transparency_Return	217	216	1	14.10	14.30	7	6
WordArt_Shapes_Arrows_Catalog1	516	479	37	24.80	27.00	24	26
Writing a technical report (SCE subject guide)	125	123	2	14.70	14.70	4	4
absrc-pac-01-info-note-en	191	186	5	13.80	13.80	6	7
advert-for-draft-decision-airbus-epr-bm3965ia-v006	48	48	0	12.70	12.70	2	2
airbus-pdf-information-package_v1-4	222	222	0	15.20	15.20	9	9
approvals-and-standardisation-organisation-approvals-docs-part-145-annex-B-B11.-TE.CAO.00129-Foreign-Part-145-approvals---Experience--logbook	154	222	-68	11.40	11.60	7	8
b050-19	100	100	0	12.80	12.80	3	3
b053-19	64	64	0	12.80	12.80	2	2
bulletin	420	418	2	12.70	12.70	15	15
cacs-206-1751218225	73	73	0	15.20	15.20	2	2
certification-flight-standards-doc-oeb-supporting-documents-tgl-TGL26-section-5-REV10	211	204	7	12.70	12.80	10	8
chapter 12	478	478	0	13.80	13.80	12	12
clustered-column-result	19	9	10	28.50	14.00	1	1
clustered-column-template	17	4	13	20.00	31.80	1	1
congregationalhistories_ky_2023	39	39	0	12.70	12.70	1	1
draft-variation-notice-airbus-bm3965ia-v006-vs-comments	317	331	-14	12.60	12.60	9	9
dragon1-enterprise-architecture-document-example-v0.1d	247	247	0	18.80	16.50	13	13
eTAR_External_Web_tool_Tip_Sheet_mh	98	93	5	14.70	14.70	4	4
easa-form-1	107	106	1	14.00	14.00	5	5
easa-regulations-update-20	309	303	6	18.00	18.00	22	19
exhibit-06---technical-architecture-template	158	268	-110	15.20	14.40	8	10
f111	383	381	2	23.00	23.00	11	11
f2_registro_de_aprovacao_com_pbcs_EN	60	59	1	23.50	23.50	2	2
f445896eb008d14c1746fc37d412dc22	755	736	19	13.40	13.40	15	15
final-technical-report-template	114	113	1	17.10	17.10	6	6
fleetfastfacts16nov2023	27	27	0	19.90	19.90	2	2
foca_form_1	106	106	0	9.20	9.20	3	3
form_1123_application_form_rvsm_spa	96	96	0	12.00	12.00	3	3
gpp-pr-top-7-office-markets-4q-2023	152	152	0	11.80	11.80	4	4
hdss-bulletin-issue-285-25-june-2025	373	350	23	18.50	17.70	11	10
healthcare-reform-nsa-consumer-bulletin	139	139	0	15.80	15.80	4	4
healthcare-reform-nsa-provider-bulletin	197	195	2	13.80	13.80	6	5
info-bulletin-601	168	160	8	15.00	15.00	7	6
johnson_hall_service_log.pdf	39	39	0	22.60	22.60	1	1
lk03_17	56	56	0	15.50	15.50	2	2
loi_format_letter_of_intent-a-320-214-a330	343	332	11	12.70	12.70	10	10
mde087077~283	107	102	5	19.40	19.40	4	4
monthly-content-feeder	639	633	6	13.50	13.50	18	18
omrIMInterpretiveGuideLine	54	54	0	13.80	13.80	2	2
opic 5--Case Studies Movie and Aviation Industries	144	146	-2	13.80	13.80	5	5
part-145-approval list (1)	404	400	4	13.20	12.80	8	8
part-145-approval list 2025	375	365	10	12.10	12.40	7	7
part-147_approval list_20230119	166	169	-3	6.70	5.00	2	2
pie-chart-result	22	9	13	13.90	14.00	1	1
pie-chart-template	5	4	1	36.20	31.80	1	1
prison-population-bulletin-june	180	180	0	16.70	12.10	6	4
private-hire-operators-licensed	58	58	0	14.80	14.50	2	2
report-template	342	333	9	13.80	13.80	12	12
review-welsh-government-communications-mister-peter-mandelson	655	677	-22	16.00	16.00	14	14
s33song-beverlyactproductionofdocuments	50	47	3	13.50	13.50	2	2
slcc-architecture-uu-architecture	132	130	2	13.50	13.50	4	4
system_design__technical_architecture_template	308	274	34	20.60	19.60	12	11
t_TEMPforInvProgs	771	698	73	16.50	17.20	27	25
te.iors.00048-002 SUP Questionnaire	124	128	-4	14.50	14.00	3	4
technical report template	108	107	1	26.90	26.90	8	8
technical-architecture	163	164	-1	18.80	16.50	8	8
technical-memo-format	160	160	0	13.80	13.80	5	5
technical-report-template	146	136	10	12.80	12.80	7	7
template---tpr-technical-progress-report-with-guidance	214	208	6	15.40	15.40	9	8
template-technical-report	125	125	0	27.60	27.60	10	10
tibs_guidelines_2	358	367	-9	11.50	11.50	13	13
xx_SETIS_PWS_template_10.19.22	556	721	-165	13.80	13.80	15	15
手机免提系统TSB	66	68	-2	17.30	21.10	2	3
