track	path	ext	rawO	rawR	alnumO	alnumR	nonO	nonR
words	words/batch-007/docx/johnson_hall_service_log.pdf.docx	docx	317	317	274	274	43	43
words	words/batch-007/docx/technical-report-template.docx	docx	738	725	728	715	10	10
words	words/batch-007/docx/template-technical-report.docx	docx	859	859	837	837	22	22
words	words/batch-008/doc/1245685 1 Comment.doc	doc	327	327	326	326	1	1
words	words/batch-008/doc/2024-2nd-quarter-case-summaries.doc	doc	5677	5677	5675	5675	2	2
words	words/batch-008/doc/FlightLaws.doc	doc	1132	1133	1073	1074	59	59
words	words/batch-008/doc/PUR-0012-UTAS-GRAMS-SPA-Template-1-25-2024.doc	doc	1083	1083	1027	1027	56	56
words	words/batch-008/docx/09.docx	docx	463	463	463	463	0	0
words	words/batch-008/docx/4400-91_Proposal_To_Lease_Space_10-2024.docx	docx	3304	3304	3280	3280	24	24
words	words/batch-008/docx/ECSS-E-ST-50-16C-Annex-A(30September2021).docx	docx	691	691	670	670	21	21
words	words/batch-008/docx/FAA-2017-0628-0002_attachment_1.docx	docx	671	641	666	638	5	3
words	words/batch-008/docx/UAS-SGI_waiver_approval_request_form.docx	docx	513	513	489	489	24	24
words	words/batch-008/docx/draft-variation-notice-airbus-bm3965ia-v006-vs-comments.docx	docx	1549	1537	1510	1499	39	38
words	words/batch-009/doc/2013-op12-Annex III - Curriculum Vitae.doc	doc	359	359	332	332	27	27
words	words/batch-009/doc/237287_0486190101_0486190101_geolink2neu.doc	doc	1605	1605	1430	1430	175	175
words	words/batch-009/doc/A380MaenPressRel.doc	doc	789	790	770	771	19	19
words	words/batch-009/doc/CP-ETSO template_v2020.DOC	doc	1136	1136	1111	1111	25	25
words	words/batch-009/doc/certification-flight-standards-doc-oeb-supporting-documents-tgl-TGL26-section-5-REV10.doc	doc	1268	1268	1221	1221	47	47
words	words/batch-009/docx/Case-Study-Heathrow-Airport.docx	docx	1216	1216	1184	1184	32	32
words	words/batch-009/docx/Contract_Check_Pilot_Sample_LOA.docx	docx	1336	1336	1324	1324	12	12
words	words/batch-009/docx/Lessons-Learned-Bulletin-Dorset-version-to-IIRG-V5.docx	docx	1553	1553	1531	1531	22	22
words	words/batch-009/docx/SWDD-template.docx	docx	1063	1078	1062	1077	1	1
words	words/batch-009/docx/form_1123_application_form_rvsm_spa.docx	docx	638	638	578	578	60	60
words	words/batch-010/doc/361400CSLegislation1RF01PUBLIC1.doc	doc	12642	12647	12615	12620	27	27
words	words/batch-010/doc/f111.doc	doc	3392	3392	3347	3347	45	45
words	words/batch-010/docx/195584360.docx	docx	8012	8010	7843	7841	169	169
words	words/batch-010/docx/5709.16 ch.40_mgfinal.docx	docx	10001	10034	9790	9821	211	213
words	words/batch-010/docx/Checklist for TC STC ETSO data packages to FAA_TIP rev 5.docx	docx	1102	1102	1102	1102	0	0
words	words/batch-010/docx/PM-apeech-Handover-of-New-Airbus-Aircraft-for-Fiji-Airways-Dec.-15th.docx	docx	584	584	582	582	2	2
words	words/batch-010/docx/Writing a technical report (SCE subject guide).docx	docx	1267	1267	1221	1221	46	46
words	words/batch-010/docx/te.iors.00048-002 SUP Questionnaire.docx	docx	640	640	620	620	20	20
words	words/batch-010/docx/technical report template.docx	docx	857	846	856	845	1	1
words	words/batch-011/doc/135.doc	doc	5323	5316	5265	5261	58	55
words	words/batch-011/doc/1528364855.doc	doc	1103	1104	1072	1072	31	32
words	words/batch-011/docx/FG-AI4NDM-TR-skeleton_template.docx	docx	439	438	434	433	5	5
words	words/batch-011/docx/b053-19.docx	docx	493	493	491	491	2	2
words	words/batch-011/docx/eTAR_External_Web_tool_Tip_Sheet_mh.docx	docx	934	934	928	928	6	6
words	words/batch-011/docx/f2_registro_de_aprovacao_com_pbcs_EN.docx	docx	464	458	458	454	6	4
words	words/batch-011/docx/part-145-approval list (1).docx	docx	1616	1618	1590	1592	26	26
words	words/batch-011/docx/part-145-approval list 2025.docx	docx	1478	1478	1455	1455	23	23
words	words/batch-011/docx/review-welsh-government-communications-mister-peter-mandelson.docx	docx	3064	3052	3020	3017	44	35
words	words/batch-011/docx/tibs_guidelines_2.docx	docx	3179	3168	3154	3143	25	25
words	words/batch-012/doc/AAC-AD-No-2021-01-Boeing-737-8-and-737-9-MAX.doc	doc	7513	7512	7453	7453	60	59
words	words/batch-012/doc/AirbusCallouts.doc	doc	9159	9161	8455	8458	704	703
words	words/batch-012/doc/RMI_Document_Repository_Public-Reprts_GettingOffOil.doc	doc	2731	2731	2729	2729	2	2
words	words/batch-012/doc/手机免提系统TSB.doc	doc	77	99	74	95	3	4
words	words/batch-012/docx/19-06 Assistive Technology TAB Final - 508.docx	docx	3267	3267	3240	3240	27	27
words	words/batch-012/docx/Company-profile-2022-EN.docx	docx	1212	1212	1170	1171	42	41
words	words/batch-012/docx/Leadership Information Article.docx	docx	1460	1460	1452	1452	8	8
words	words/batch-012/docx/monthly-content-feeder.docx	docx	6021	6021	5890	5890	131	131
words	words/batch-012/docx/slcc-architecture-uu-architecture.docx	docx	1236	1236	1205	1205	31	31
words	words/batch-012/docx/technical-architecture.docx	docx	1152	1130	1130	1109	22	21
words	words/batch-013/docx/20110608_psp.docx	docx	679	679	671	671	8	8
words	words/batch-013/docx/A1. EASA Form 2.docx	docx	2436	2240	2399	2205	37	35
words	words/batch-013/docx/AW-104D-RVSM-Aircraft-Approval-Checklist.pdf.docx	docx	153	147	141	135	12	12
words	words/batch-013/docx/FO.FCTOA_.000129 Application for activities related to FSTD.docx	docx	1712	1712	1684	1684	28	28
words	words/batch-013/docx/Sol PJ14-03-04 Solution Contextual.docx	docx	2105	2109	2067	2071	38	38
words	words/batch-013/docx/b050-19.docx	docx	874	874	872	872	2	2
words	words/batch-013/docx/bulletin.docx	docx	3283	3292	3244	3253	39	39
words	words/batch-013/docx/easa-regulations-update-20.docx	docx	2844	2844	2738	2738	106	106
words	words/batch-013/docx/template---tpr-technical-progress-report-with-guidance.docx	docx	1885	1887	1840	1842	45	45
words	words/batch-014/doc/1228841571067_2009_TPPT_13__2007_TPPT_102__R-108535759.doc	doc	2797	2798	2797	2797	0	1
words	words/batch-014/doc/1257259179492_2007_TPPT_102_Supporting_Doc_2-434003080.doc	doc	2158	2163	2120	2124	38	39
words	words/batch-014/doc/Reid.doc	doc	1570	1570	1553	1553	17	17
words	words/batch-014/doc/omrIMInterpretiveGuideLine.doc	doc	377	383	376	382	1	1
words	words/batch-014/docx/FO.FCTOA.00010 Application for a Part-ORA ATO Approval.docx	docx	4518	4578	4456	4513	62	65
words	words/batch-014/docx/Form-SM-76A-_-CAR-OPS-2A-Instruments-and-Equipment-Compliance-Statement-_-11.docx	docx	627	627	615	615	12	12
words	words/batch-014/docx/SPA-11_mcar_part-11_v2.9.docx	docx	14034	13975	14007	13948	27	27
words	words/batch-014/docx/UG.CAO.00133 Foreign Part 145 approvals - Language.docx	docx	4007	3762	3899	3667	108	95
words	words/batch-014/docx/gpp-pr-top-7-office-markets-4q-2023.docx	docx	1101	1109	1067	1075	34	34
words	words/batch-014/docx/xx_SETIS_PWS_template_10.19.22.docx	docx	4432	4980	4375	4923	57	57
words	words/batch-015/doc/644730BRI0mna000BOX361539B00public0.doc	doc	2336	2339	2325	2328	11	11
words	words/batch-015/doc/A320SimNotes.doc	doc	15002	14999	13844	13919	1158	1080
words	words/batch-015/doc/info-bulletin-601.doc	doc	1316	1320	1298	1302	18	18
words	words/batch-015/docx/1603642410-MoM-CASCOM-06-2020-draft04.docx	docx	4604	4604	4469	4469	135	135
words	words/batch-015/docx/1_tpr_template__from_fy14_.docx	docx	3580	3581	3564	3565	16	16
words	words/batch-015/docx/B11. TE.CAO.00129  Experience  logbook.docx	docx	1413	1276	1382	1247	31	29
words	words/batch-015/docx/Regulations Governing the Status, Basic Rights and Duties of Officials other than Secretariat Officials, and Experts on Mission.docx	docx	6449	6453	6394	6395	55	58
words	words/batch-015/docx/approvals-and-standardisation-organisation-approvals-docs-part-145-annex-B-B11.-TE.CAO.00129-Foreign-Part-145-approvals---Experience--logbook.docx	docx	1190	1118	1168	1098	22	20
words	words/batch-015/docx/exhibit-06---technical-architecture-template.docx	docx	1105	1094	1094	1085	11	9
words	words/batch-015/docx/hdss-bulletin-issue-285-25-june-2025.docx	docx	3650	3592	3587	3529	63	63
words	words/batch-016/doc/150_5300_13_chg8.doc	doc	8583	8573	8521	8512	62	61
words	words/batch-016/doc/300502-Mecenat-Airbus-Simusante_CHU-Amiens-Picardie.doc	doc	338	337	332	332	6	5
words	words/batch-016/doc/PK_FlugzeugeStricken.doc	doc	1441	1452	1394	1408	47	44
words	words/batch-016/doc/SFSP_2013-02_Bulletin.doc	doc	957	965	935	942	22	23
words	words/batch-016/doc/absrc-pac-01-info-note-en.doc	doc	1322	1326	1299	1303	23	23
words	words/batch-016/docx/231164_SystemDesignDocument.docx	docx	6738	6709	6603	6562	135	147
words	words/batch-016/docx/AFS-050-004-F2_0i.docx	docx	2383	2384	2227	2228	156	156
words	words/batch-016/docx/JEMIT_Template.docx	docx	1705	1697	1635	1627	70	70
words	words/batch-016/docx/TE.CAO.00125 Foreign Part 145 approvals - OJT Logbook.docx	docx	3056	3177	2675	2793	381	384
words	words/batch-016/docx/fleetfastfacts16nov2023.docx	docx	129	129	120	120	9	9
words	words/batch-017/doc/2013_11.doc	doc	2629	2635	2607	2607	22	28
words	words/batch-017/doc/762.doc	doc	4144	4146	4120	4122	24	24
words	words/batch-017/docx/03_Technical_Report_(progress)_template.docx	docx	1433	1430	1412	1409	21	21
words	words/batch-017/docx/AWR OPS-AOC 044 Statement of Compliance RVSM  Rev 04 01 Feb 2024.docx	docx	2211	2259	2068	2125	143	134
words	words/batch-017/docx/Agile_Arc_SysDes.docx	docx	5790	5822	5704	5737	86	85
words	words/batch-017/docx/May 25 bulletin focus on carers in the workplace.docx	docx	457	538	442	521	15	17
words	words/batch-017/docx/PI-doc.-no.-2E-Technical-Review-Report.docx	docx	1917	1942	1770	1794	147	148
words	words/batch-017/docx/Sample_SQMS_Program.docx	docx	16382	16252	16096	15967	286	285
words	words/batch-017/docx/UG.CAO.00006 Foreign Part 145 approvals - User Guide for Applicants & Approval Holders.docx	docx	8251	7552	8011	7399	240	153
words	words/batch-017/docx/system_design__technical_architecture_template.docx	docx	1791	1789	1722	1720	69	69
words	words/batch-018/doc/120509coss.doc	doc	7228	7228	7179	7179	49	49
words	words/batch-018/doc/A_320.doc	doc	19166	19004	18754	18592	412	412
words	words/batch-018/docx/Allegiant_Company_Profile_with_History.docx	docx	1156	1156	1153	1153	3	3
words	words/batch-018/docx/DOA_Template_Form_Type_Certification_Programme.docx	docx	5461	5444	5381	5365	80	79
words	words/batch-018/docx/ESPN-R - MCF - Manual - Ed1.0 - For Publication.docx	docx	9564	9507	9453	9397	111	110
words	words/batch-018/docx/FRE-03_mcar_part-3_and_IS_v2.9.docx	docx	25861	25787	24762	24693	1099	1094
words	words/batch-018/docx/HC-Bulletin-template.docx	docx	521	524	462	462	59	62
words	words/batch-018/docx/SPA-06_mcar_part-6_and_IS_v2.9.docx	docx	27408	27435	27396	27420	12	15
words	words/batch-018/docx/airbus-pdf-information-package_v1-4.docx	docx	1320	1342	1277	1299	43	43
words	words/batch-018/docx/t_TEMPforInvProgs.docx	docx	5031	5072	4963	5020	68	52
words	words/batch-019/doc/150_5335_5a.doc	doc	19404	19276	19207	19085	197	191
words	words/batch-019/docx/02_mcar_part-2_and_IS_v2.10.docx	docx	81277	81108	80672	80500	605	608
words	words/batch-019/docx/24-25_FAA_Holdover_Tables.docx	docx	70930	71199	66901	67111	4029	4088
words	words/batch-019/docx/33004.docx	docx	12248	12141	12068	11963	180	178
words	words/batch-019/docx/CRIF - SpÃ©cification technique - Socle applicatif.docx	docx	6644	7068	6320	6618	324	450
words	words/batch-019/docx/ESPN-R - MCF - RA - Ed1.docx	docx	12300	12289	12177	12167	123	122
words	words/batch-019/docx/PES-Technical-Report-Template_Jan_2019.docx	docx	2739	2738	2665	2663	74	75
words	words/batch-019/docx/SPA-02_mcar_part-2_and_IS_v2.9.docx	docx	95039	94848	95026	94826	13	22
words	words/batch-019/docx/dragon1-enterprise-architecture-document-example-v0.1d.docx	docx	1670	1653	1648	1631	22	22
words	words/batch-019/docx/report-template.docx	docx	2987	3033	2980	3026	7	7
words	words/batch-020/doc/150_5300_13_chg10.doc	doc	24197	23553	23991	23360	206	193
words	words/batch-020/doc/150_5300_13_chg12.doc	doc	12763	12766	12690	12698	73	68
words	words/batch-020/docx/150-5370-10H.docx	docx	298839	298716	292766	292647	6073	6069
words	words/batch-020/docx/ABCD-FE-01-00 Flight Envelope - v1 08.03.16.docx	docx	3985	3773	3938	3720	47	53
words	words/batch-020/docx/ABCD-WB-08-00 Weight and Balance Report - v1 08.03.16.docx	docx	2770	2652	2729	2612	41	40
words	words/batch-020/docx/AC-150-5370-10G-updated-201604.docx	docx	285333	285185	280705	280560	4628	4625
words	words/batch-020/docx/Annex-10-to-the-Aircraft-Maintenance-Specialist-Certification-Rule-GCAA.docx	docx	35311	35311	35041	35041	270	270
words	words/batch-020/docx/EHEST-SMS-Safety-Management-Manual-V2.docx	docx	19629	19670	19180	19222	449	448
words	words/batch-020/docx/FAA 2025-26 Holdover Tables.docx	docx	79223	79447	74607	74831	4616	4616
words	words/batch-020/docx/OM template for non-complex NCC operators_August 2016.docx	docx	52437	52697	51410	51673	1027	1024
words	words/batch-021/docx/ABCD-SDE-23-00 - Avionic System Description - 17.02.16 - v1.docx	docx	8923	8548	8793	8402	130	146
words	words/batch-021/docx/docs-quality-MA.IMS.00001-Integrated-Management-System-manual.docx	docx	12370	12567	12024	12213	346	354
slides	slides/batch-001/ppt/WC_Update-Aug03.ppt	ppt	519	519	452	452	67	67
slides	slides/batch-001/ppt/policy-pesentation.ppt	ppt	478	478	389	389	89	89
slides	slides/batch-001/ppt/wells08_basic.ppt	ppt	1172	1171	986	995	186	176
slides	slides/batch-001/pptx/111006 COMSTAC STOWG Aero spaceports IFG.pptx	pptx	309	309	267	267	42	42
slides	slides/batch-001/pptx/BMFE-06-03 (Gerflor) Smoke Density and Toxicity.pptx	pptx	794	794	732	732	62	62
slides	slides/batch-001/pptx/Definitions commodity chains.pptx	pptx	279	279	261	261	18	18
slides	slides/batch-001/pptx/Statement of Work presentation.pptx	pptx	233	229	227	224	6	5
slides	slides/batch-001/pptx/Trust Fund Excise Taxes Structure.pptx	pptx	189	189	169	169	20	20
slides	slides/batch-001/pptx/fishbone-diagram-template-ppt-1.pptx	pptx	197	197	189	189	8	8
slides	slides/batch-002/ppt/080214-Intl-pol-frameworks-and-their-implications-for-Africa-ISS-workshop.ppt	ppt	838	871	815	815	23	56
slides	slides/batch-002/ppt/gfopportunitiesforlinkagespres_2010_en.ppt	ppt	1722	1724	1647	1654	75	70
slides	slides/batch-002/ppt/ws_prod-g-doc-Events-2007-Approval-of-Flight-Conditions-RM-NAA-16032007.ppt	ppt	823	820	743	743	80	77
slides	slides/batch-002/ppt/ws_prod-g-doc-Events-2007-may-presentation-PtF-background-+-principles.ppt	ppt	1025	932	909	909	116	23
slides	slides/batch-002/ppt/ws_prod-g-doc-Events-2007-november-IACA-presentation-at-EASA-Fuel-Tank-Safety-Training-Seminar.ppt	ppt	587	587	555	555	32	32
slides	slides/batch-002/ppt/ws_prod-g-doc-Events-Part-M-presentation.ppt	ppt	1925	1878	1844	1845	81	33
slides	slides/batch-002/pptx/Curriculum-Schematic-E22-11052025.pptx	pptx	1307	1322	1119	1134	188	188
slides	slides/batch-002/pptx/diapo_6_fees_vous_etes_poctdoct_exterieur_a_luniv_v2_0_1.pptx	pptx	98	98	92	92	6	6
slides	slides/batch-002/pptx/iaeg_work_group_leader_updates.pptx	pptx	91	91	90	90	1	1
slides	slides/batch-002/pptx/medicines_bulletin_february_2023_final.pptx	pptx	545	546	534	535	11	11
slides	slides/batch-003/ppt/010605Vul.ppt	ppt	1094	1089	960	944	134	145
slides	slides/batch-003/ppt/Inducement-to-Insurance-Business.ppt	ppt	2598	2589	2587	2577	11	12
slides	slides/batch-003/ppt/outlook_of_nigerian_pension_sector.ppt	ppt	1119	1118	1021	1021	98	97
slides	slides/batch-003/ppt/ws_prod-g-doc-Events-2007-Privileges.ppt	ppt	842	818	799	799	43	19
slides	slides/batch-003/ppt/ws_prod-g-doc-Events-2007-september-MDM.032-(ENGLISH)-CZ.ppt	ppt	2855	2712	2662	2662	193	50
slides	slides/batch-003/pptx/02_REDAC_New ATM briefing _March 2017v2.pptx	pptx	805	805	759	759	46	46
slides	slides/batch-003/pptx/97936.pptx	pptx	1353	1353	1267	1267	86	86
slides	slides/batch-003/pptx/NCW-2024-Guide-.pptx	pptx	222	226	211	215	11	11
slides	slides/batch-003/pptx/dhs-293364.pptx	pptx	3826	3827	3617	3618	209	209
slides	slides/batch-003/pptx/ev122_jj-liew-tort-of-bribery-webinar.pptx	pptx	1449	1449	1374	1374	75	75
slides	slides/batch-004/ppt/undp_presentation_revised_17_may.ppt	ppt	1882	1957	1814	1836	68	121
slides	slides/batch-004/ppt/ws_prod-g-doc-Events-2007-september-M.017-(French)-France.ppt	ppt	6471	6291	6215	6215	256	76
slides	slides/batch-004/ppt/ws_prod-g-doc-Events-industrymeeting18112004-European-Safety-Strategy-Initiative.ppt	ppt	389	343	332	332	57	11
slides	slides/batch-004/pptx/DOE Interactive Exercise Presentation draft rev 2.pptx	pptx	650	655	573	574	77	81
slides	slides/batch-004/pptx/Item 6b - UNSD - Dissemination through APIs.pptx	pptx	453	453	421	421	32	32
slides	slides/batch-004/pptx/Liturgical-Commission-2025-Convention-Presentation.pptx	pptx	395	395	344	344	51	51
slides	slides/batch-004/pptx/Session 21- The option to expand & abandon.pptx	pptx	968	967	885	885	83	82
slides	slides/batch-004/pptx/ghgp-supply-chain-initiative_20100323_wri.pptx	pptx	4130	4131	3895	3896	235	235
slides	slides/batch-004/pptx/redac-fullComm-201705-EE-FRs-briefing.pptx	pptx	384	384	374	374	10	10
slides	slides/batch-004/pptx/solog_orientation_august_2019.pptx	pptx	730	746	670	685	60	61
slides	slides/batch-005/ppt/0335fab9-79f0-4944-b92c-f223837ca2d8.ppt	ppt	658	667	612	616	46	51
slides	slides/batch-005/ppt/berlin.ppt	ppt	1524	1530	1365	1375	159	155
slides	slides/batch-005/ppt/ws_prod-g-doc-Events-industrymeeting18112004-Aercap.ppt	ppt	1345	1345	1250	1271	95	74
slides	slides/batch-005/pptx/5b_upasana_dasgupta_-_liability_and_registration.pptx	pptx	1016	1006	965	956	51	50
slides	slides/batch-005/pptx/ANG C-1 ATC-TO Core Program - HF REDAC briefing September 7 2016.pptx	pptx	2007	2007	1885	1885	122	122
slides	slides/batch-005/pptx/NAS-Infrastructure-Roadmaps-Weather.pptx	pptx	2151	2152	2119	2120	32	32
slides	slides/batch-005/pptx/attendance-updates-for-governors.pptx	pptx	3219	3227	3047	3055	172	172
slides	slides/batch-005/pptx/c_291533.pptx	pptx	1158	1159	1104	1105	54	54
slides	slides/batch-005/pptx/manufacturing_process_simulation_working_group_overview_2023.pptx	pptx	771	756	728	714	43	42
slides	slides/batch-006/ppt/ITE106-Chapter 4.ppt	ppt	3294	3294	3139	3139	155	155
slides	slides/batch-006/ppt/Lepore.ppt	ppt	1942	1948	1812	1822	130	126
slides	slides/batch-006/ppt/pods05.ppt	ppt	2086	2078	1882	1884	204	194
slides	slides/batch-006/ppt/ws_prod-g-doc-Events-r-6.-ESM.ppt	ppt	2120	2120	1951	1951	169	169
slides	slides/batch-006/pptx/Course Selection 2025-26 Current Grade 09.pptx	pptx	698	698	694	694	4	4
slides	slides/batch-006/pptx/NAS-Infrastructure-Roadmaps-HSI.pptx	pptx	1469	1469	1415	1415	54	54
slides	slides/batch-006/pptx/Stakeholders-v08052017 - v5.pptx	pptx	605	617	538	547	67	70
slides	slides/batch-006/pptx/iris07.12.12.pptx	pptx	938	938	881	881	57	57
slides	slides/batch-006/pptx/social-media-app-bulletin-january.pptx	pptx	792	792	788	788	4	4
slides	slides/batch-006/pptx/wopanets-innovationdays-06-16.pptx	pptx	626	619	563	563	63	56
slides	slides/batch-007/ppt/1-secretariat.ppt	ppt	210	216	150	150	60	66
slides	slides/batch-007/ppt/architecture6.ppt	ppt	2011	2642	1926	2544	85	98
slides	slides/batch-007/ppt/introduction_to_bea_tuxedo.ppt	ppt	1984	1831	1785	1767	199	64
slides	slides/batch-007/pptx/Boeing 737 Max - Group 5.pptx	pptx	7	7	7	7	0	0
slides	slides/batch-007/pptx/Ensemble-pour-l-amelioration-de-la-securite-de-lac-AIRBUS.pptx	pptx	652	652	627	627	25	25
slides	slides/batch-007/pptx/PAL Block Intro 2023.pptx	pptx	1562	1564	1461	1463	101	101
slides	slides/batch-007/pptx/REDAC HF briefing Sep 2016_LARD_ATC_TO_FE_v2.pptx	pptx	2223	2223	2119	2119	104	104
slides	slides/batch-007/pptx/bitesize-writing-a-report.pptx	pptx	701	709	650	658	51	51
slides	slides/batch-007/pptx/flying-by-numbers-presentation.pptx	pptx	576	577	546	547	30	30
slides	slides/batch-007/pptx/nabiyeleul_1_aviation_service_28_july_2020.pptx	pptx	604	604	554	554	50	50
slides	slides/batch-008/ppt/71393_pp7.ppt	ppt	2370	2373	2151	2151	219	222
slides	slides/batch-008/ppt/Framing Europe.ppt	ppt	2300	2301	2237	2237	63	64
slides	slides/batch-008/ppt/RESPA_-_Section_8_Webinar.ppt	ppt	2765	2770	2569	2578	196	192
slides	slides/batch-008/ppt/concepts-surrounding-cloud-computing-carolyn-kranz-and-rich-prem-gb-seattle-2011.ppt	ppt	2635	2571	2458	2463	177	108
slides	slides/batch-008/ppt/joint_user_outcomes_michael_fullerton_29.06.12.ppt	ppt	2012	2017	1917	1918	95	99
slides	slides/batch-008/pptx/10. Drawings, circuit diagrams and schematics.pptx	pptx	1520	1521	1501	1502	19	19
slides	slides/batch-008/pptx/8_P-Pavese_AIRBUS-ATB-journee-CRATB.pptx	pptx	2331	2199	2143	2010	188	189
slides	slides/batch-008/pptx/AATF-Fact-Sheet-2025.pptx	pptx	899	894	853	848	46	46
slides	slides/batch-008/pptx/BHCA Part II webinar #2 - 10.2020.pptx	pptx	1454	1450	1408	1405	46	45
slides	slides/batch-008/pptx/FIT26-Presentation-Airservices-Update.pptx	pptx	241	241	221	221	20	20
slides	slides/batch-009/ppt/8.16_AOD_FINAL_Provider_Training_Presentation_9_2009.ppt	ppt	4512	4542	4310	4311	202	231
slides	slides/batch-009/ppt/Airport Planning 09112013.ppt	ppt	656	656	629	629	27	27
slides	slides/batch-009/ppt/EG1_dsrc tech.ppt	ppt	2178	2178	2034	2034	144	144
slides	slides/batch-009/ppt/Employment-Based_I-485.ppt	ppt	2709	2709	2516	2516	193	193
slides	slides/batch-009/pptx/G-InvoicingKeithJarboe.pptx	pptx	1175	1177	1078	1080	97	97
slides	slides/batch-009/pptx/NWD-GLA-Community-Outreach-Day-Oct-2025.pptx	pptx	577	698	529	638	48	60
slides	slides/batch-009/pptx/ROK-PI Climate Bulletin - Edition 2017-06.pptx	pptx	416	416	409	409	7	7
slides	slides/batch-009/pptx/airbus-powerpoint-presentation-2019-20-without-video_diy_2019-20.pptx	pptx	919	927	871	879	48	48
slides	slides/batch-009/pptx/item_3-environmental_process_briefing.pptx	pptx	334	334	296	296	38	38
slides	slides/batch-009/pptx/redac-sas-201403-ppt-portfolio-rev-sim.pptx	pptx	2197	2205	2017	2014	180	191
slides	slides/batch-010/ppt/Fundamentals_Module_1_basics.ppt	ppt	1234	1180	1135	1089	99	91
slides	slides/batch-010/ppt/W3_Case_Study_of_a_Tsunami_Warning_Simulation_Exercise_Ed.ppt	ppt	948	862	900	812	48	50
slides	slides/batch-010/ppt/iep-amount-frequency-for-webinar.ppt	ppt	1760	1774	1678	1691	82	83
slides	slides/batch-010/pptx/30-04-2021 merged NDoH and NICD_Presentation HBV BD meeting 05May2021_1.pptx	pptx	1446	1448	1359	1361	87	87
slides	slides/batch-010/pptx/COMSTAC_11_5_2021am_2.pptx	pptx	2858	2858	2741	2741	117	117
slides	slides/batch-010/pptx/FIT26-Presentation-PR-Briefing-Debrief-Airbus.pptx	pptx	1533	1535	1441	1443	92	92
slides	slides/batch-010/pptx/HENTZEN_COMPOSITE_MATERIALS_IN_THE_AEROSPACE_INDUSTRY.pptx	pptx	344	345	320	321	24	24
slides	slides/batch-010/pptx/Tax factsheet 2022 (1).pptx	pptx	2913	2949	2834	2869	79	80
slides	slides/batch-010/pptx/[Christophe]NLP_reseau_inge_stat.pptx	pptx	988	989	884	885	104	104
slides	slides/batch-010/pptx/southern-classic-kennesaw-state-university-final.pptx	pptx	2268	2381	2196	2270	72	111
slides	slides/batch-011/ppt/BUS-Chapter 05.ppt	ppt	2342	2342	2126	2134	216	208
slides	slides/batch-011/pptx/171128IPAP.pptx	pptx	4919	4811	4688	4670	231	141
slides	slides/batch-011/pptx/BasicMed_AME_Presentation.pptx	pptx	939	939	870	870	69	69
slides	slides/batch-011/pptx/Copy of Full deck with references Promotion of Outside Interests at Work final(1).pptx	pptx	3248	3252	3114	3118	134	134
slides	slides/batch-011/pptx/DoIRD Meeting 16JAN14 v1-1.pptx	pptx	1142	1142	1075	1075	67	67
slides	slides/batch-011/pptx/John_Broggio__RSS_Campion_event_John_Broggio.pptx	pptx	1245	1246	1171	1172	74	74
slides	slides/batch-011/pptx/REDAC Briefing_SSIT_CARA_08132014.ppt.pptx	pptx	521	521	462	462	59	59
slides	slides/batch-011/pptx/Sector_Skills_Insights_Advanced_Manufacturing_summary_slide_pack.pptx	pptx	4691	4771	4587	4666	104	105
slides	slides/batch-011/pptx/passiv.pptx	pptx	1305	1304	1199	1197	106	107
slides	slides/batch-011/pptx/section_1_our_rights_presentation.pptx	pptx	4257	4254	4147	4144	110	110
slides	slides/batch-012/pptx/1_Country-Updates_DRC_English.pptx	pptx	844	846	780	782	64	64
slides	slides/batch-012/pptx/23-session-2-pptx.pptx	pptx	333	333	304	304	29	29
slides	slides/batch-012/pptx/3495.pptx	pptx	807	807	747	747	60	60
slides	slides/batch-012/pptx/B2B-Center-Readiness-and-Student-Retention.pptx	pptx	1558	1555	1351	1348	207	207
slides	slides/batch-012/pptx/NAS-Infrastructure-Roadmaps-v16.0.pptx	pptx	19370	19297	18917	18850	453	447
slides	slides/batch-012/pptx/OnTrac_StarCertificationProgram-3Day.pptx	pptx	1416	1116	1326	1030	90	86
slides	slides/batch-012/pptx/Session-1-Presentation-Reporting-Forms-Form-12-final.pptx	pptx	1162	1152	1131	1124	31	28
slides	slides/batch-012/pptx/Sylva%20introduction%20session.pptx	pptx	1152	1562	1064	1467	88	95
slides	slides/batch-012/pptx/_1___Opatrny_Ales_United_Kingdom_business_opportunities_final.pptx	pptx	1818	1790	1614	1620	204	170
slides	slides/batch-012/pptx/order-of-worship-ppt-revised-2018.pptx	pptx	1212	1212	1139	1139	73	73
slides	slides/batch-013/ppt/JesuitAssocOfStudentPersonnel.ppt	ppt	1334	1339	1174	1177	160	162
slides	slides/batch-013/ppt/RRM-training-syllabus-Chapter-3-Teamwork-TC-Towing-Incident-Analysis-Dec-2009.ppt	ppt	2660	2764	2473	2576	187	188
slides	slides/batch-013/ppt/gillikin_online_user_mtg_2010.ppt	ppt	1468	1469	1291	1292	177	177
slides	slides/batch-013/pptx/3492.pptx	pptx	1320	1320	1266	1266	54	54
slides	slides/batch-013/pptx/7-Zulkefli_Part147n66_IKMAS.pptx	pptx	1009	1036	941	973	68	63
slides	slides/batch-013/pptx/County ACHS Presentaion Webinar 8-16-16 Peg.pptx	pptx	1394	1394	1325	1326	69	68
slides	slides/batch-013/pptx/REDAC briefing March12-13-2014jemvbFINAL.ppt.pptx	pptx	2788	2786	2587	2584	201	202
