page	band	ours_y	ref_y	dy	ours_x0	ours_x1	ref_x0	ref_x1	ours_rgb	ref_rgb
13	gauge	8.02	5.07	2.950	69.06	478.06	65.19	478.94	#808080	#808080
13	gauge	25.25	22.87	2.380	69.06	478.06	65.19	478.94	#808080	#808080
13	gauge	42.47	40.65	1.820	69.06	478.06	65.19	478.94	#808080	#808080
13	gauge	59.69	58.43	1.260	69.06	478.06	65.19	478.94	#808080	#808080
13	gauge	76.92	76.21	0.710	69.06	478.06	65.19	478.94	#808080	#808080
13	gauge	94.14	93.99	0.150	69.06	478.06	65.19	478.94	#808080	#808080
13	gauge	111.37	111.77	0.400	69.06	478.06	65.19	478.94	#808080	#808080
13	gauge	128.59	129.55	0.960	69.06	478.06	65.19	478.94	#808080	#808080
13	gauge	145.81	147.33	1.520	69.06	478.06	65.19	478.94	#808080	#808080
13	gauge	163.04	165.11	2.070	69.06	478.06	65.19	478.94	#808080	#808080
13	sheet	251.05	251.07	0.020	50.12	534.9	50.39	534.74	#000000	#000000
13	sheet	263.23	263.25	0.020	50.12	534.9	50.39	534.74	#000000	#000000
13	sheet	272.00	272.02	0.020	50.12	535.4	50.39	535.07	#000000	#000000
13	sheet	291.97	291.99	0.020	50.12	535.4	50.39	535.07	#000000	#000000
13	sheet	317.29	317.31	0.020	50.12	535.4	50.39	535.07	#000000	#000000
13	sheet	330.92	330.94	0.020	50.12	535.4	50.39	535.07	#000000	#000000
13	sheet	356.24	356.26	0.020	50.12	535.4	50.39	535.07	#000000	#000000
13	sheet	381.56	381.57	0.010	50.12	535.4	50.39	535.07	#000000	#000000
13	sheet	406.87	406.89	0.020	50.12	535.4	50.39	535.07	#000000	#000000
13	sheet	431.69	431.71	0.020	50.12	535.4	50.39	535.07	#000000	#000000
13	sheet	457.01	457.02	0.010	50.12	535.4	50.39	535.07	#000000	#000000
13	sheet	482.32	482.34	0.020	50.12	535.4	50.39	535.07	#000000	#000000
13	sheet	507.64	507.66	0.020	50.12	535.4	50.39	535.07	#000000	#000000
13	sheet	532.95	532.97	0.020	50.12	535.4	50.39	535.07	#000000	#000000
13	sheet	558.27	558.29	0.020	50.12	535.4	50.39	535.07	#000000	#000000
13	sheet	571.91	571.92	0.010	50.12	535.4	50.39	535.07	#000000	#000000
13	sheet	597.22	597.24	0.020	50.12	535.4	50.39	535.07	#000000	#000000
13	sheet	622.54	622.55	0.010	50.12	535.4	50.39	535.07	#000000	#000000
13	sheet	647.85	647.87	0.020	50.12	535.4	50.39	535.07	#000000	#000000
13	sheet	673.17	673.19	0.020	50.12	535.4	50.39	535.07	#000000	#000000
13	sheet	686.81	686.82	0.010	50.12	535.4	50.39	535.07	#000000	#000000
13	sheet	712.12	712.14	0.020	50.12	535.4	50.39	535.07	#000000	#000000
13	sheet	737.44	737.46	0.020	50.12	535.4	50.39	535.07	#000000	#000000
13	sheet	762.75	762.77	0.020	50.12	535.4	50.39	535.07	#000000	#000000
13	sheet	788.07	788.09	0.020	50.12	535.4	50.39	535.07	#000000	#000000
15	gauge	419.42	417.00	2.420	69.06	478.06	65.19	478.94	#808080	#808080
15	gauge	441.57	439.87	1.700	69.06	478.06	65.19	478.94	#808080	#808080
15	gauge	463.71	462.74	0.970	69.06	478.06	65.19	478.94	#808080	#808080
15	gauge	485.86	485.60	0.260	69.06	478.06	65.19	478.94	#808080	#808080
15	gauge	508.00	508.45	0.450	69.06	478.06	65.19	478.94	#808080	#808080
15	gauge	530.15	531.31	1.160	69.06	478.06	65.19	478.94	#808080	#808080
15	gauge	552.29	554.20	1.910	69.06	478.06	65.19	478.94	#808080	#808080
15	gauge	574.44	577.04	2.600	69.06	478.06	65.19	478.94	#808080	#808080
15	sheet	665.84	665.86	0.020	50.12	534.9	50.39	534.74	#000000	#000000
15	sheet	678.02	678.03	0.010	50.12	534.9	50.39	534.74	#000000	#000000
15	sheet	686.79	686.80	0.010	50.12	535.4	50.39	535.07	#000000	#000000
15	sheet	706.76	706.78	0.020	50.12	535.4	50.39	535.07	#000000	#000000
15	sheet	732.08	732.09	0.010	50.12	535.4	50.39	535.07	#000000	#000000
15	sheet	745.71	745.73	0.020	50.12	535.4	50.39	535.07	#000000	#000000
15	sheet	771.03	771.04	0.010	50.12	535.4	50.39	535.07	#000000	#000000
