identity	ext	path	npages	ours_rules	ref_rules	ours_pt	ref_pt	pages_ours_excess	worst_page	worst_excess
AW-104D-RVSM-Aircraft-Approval-Checklist.pdf__docx	docx	words/ceiling-001/docx/AW-104D-RVSM-Aircraft-Approval-Checklist.pdf.docx	2	12	12	4286	4286	0	0	0
014_advanced_word_chart_report__docx	docx	words/chartset-001/docx/014_advanced_word_chart_report.docx	1	8	6	4090	3068	1	1	1021
032_advanced_word_chart_report__docx	docx	words/chartset-001/docx/032_advanced_word_chart_report.docx	1	8	6	4090	3068	1	1	1021
pie-chart-result__docx	docx	words/chartset-001/docx/pie-chart-result.docx	1	8	29	1592	2831	0	0	0
006_advanced_word_chart_report__docx	docx	words/chartset-002/docx/006_advanced_word_chart_report.docx	1	8	6	4090	3068	1	1	1021
017_advanced_word_chart_report__docx	docx	words/chartset-002/docx/017_advanced_word_chart_report.docx	1	8	6	4090	3068	1	1	1021
029_advanced_word_chart_report__docx	docx	words/chartset-002/docx/029_advanced_word_chart_report.docx	1	8	6	4090	3068	1	1	1021
001_advanced_word_chart_report__docx	docx	words/chartset-003/docx/001_advanced_word_chart_report.docx	1	8	6	4090	3068	1	1	1021
007_advanced_word_chart_report__docx	docx	words/chartset-003/docx/007_advanced_word_chart_report.docx	1	8	6	4090	3068	1	1	1021
019_advanced_word_chart_report__docx	docx	words/chartset-003/docx/019_advanced_word_chart_report.docx	1	8	6	4090	3068	1	1	1021
028_advanced_word_chart_report__docx	docx	words/chartset-003/docx/028_advanced_word_chart_report.docx	1	8	6	4090	3068	1	1	1021
013_advanced_word_chart_report__docx	docx	words/chartset-004/docx/013_advanced_word_chart_report.docx	1	8	6	4090	3068	1	1	1021
024_advanced_word_chart_report__docx	docx	words/chartset-004/docx/024_advanced_word_chart_report.docx	1	8	6	4090	3068	1	1	1021
005_Free_Genogram_Diagram_Template_Excellent_layout_f5f185d0__docx	docx	words/chartset-005/docx/005_Free_Genogram_Diagram_Template_Excellent_layout_f5f185d0.docx	1	14	50	1881	2868	0	0	0
053_Organogram_Template_Creative_Theme_21657a3d__docx	docx	words/chartset-005/docx/053_Organogram_Template_Creative_Theme_21657a3d.docx	1	4	4	244	244	0	0	0
084_Printable_Graph_Paper_Template_Editable_Layout_d66c6820__docx	docx	words/chartset-005/docx/084_Printable_Graph_Paper_Template_Editable_Layout_d66c6820.docx	1	49	49	22598	22598	0	1	0
001_Free_Genogram_Diagram_Template_Blue_and_Gray_Theme_7c9e01a7__docx	docx	words/chartset-006/docx/001_Free_Genogram_Diagram_Template_Blue_and_Gray_Theme_7c9e01a7.docx	1	18	51	1730	2547	0	0	0
057_Organogram_Template_Vertical_Colorful_Theme_724b143c__docx	docx	words/chartset-006/docx/057_Organogram_Template_Vertical_Colorful_Theme_724b143c.docx	1	1	76	486	5519	0	0	0
002_advanced_word_chart_report__docx	docx	words/chartset-001/docx/002_advanced_word_chart_report.docx	1	8	6	4090	3068	1	1	1021
088_Printable_Graph_Paper_Template_Quality_layout_33051f6e__docx	docx	words/chartset-006/docx/088_Printable_Graph_Paper_Template_Quality_layout_33051f6e.docx	1	29	29	15244	15244	0	0	0
020_advanced_word_chart_report__docx	docx	words/chartset-001/docx/020_advanced_word_chart_report.docx	1	8	6	4090	3068	1	1	1021
099_Business_Case_Template_Gray_Theme_ac3edbf4__docx	docx	words/chartset-006/docx/099_Business_Case_Template_Gray_Theme_ac3edbf4.docx	1	24	24	12312	12312	0	1	0
clustered-column-result__docx	docx	words/chartset-001/docx/clustered-column-result.docx	1	17	20	6975	7830	0	0	0
025_Unit_Circle_Chart_Cos_and_Sin_Model_1ed01892__docx	docx	words/chartset-007/docx/025_Unit_Circle_Chart_Cos_and_Sin_Model_1ed01892.docx	1	1	1	466	466	0	0	0
pie-chart-template__docx	docx	words/chartset-001/docx/pie-chart-template.docx	1	3	6	598	1362	0	0	0
058_Organogram_Template_With_Picture_Theme_44b79368__docx	docx	words/chartset-007/docx/058_Organogram_Template_With_Picture_Theme_44b79368.docx	1	13	55	800	4211	0	0	0
011_advanced_word_chart_report__docx	docx	words/chartset-002/docx/011_advanced_word_chart_report.docx	1	8	6	4090	3068	1	1	1021
021_advanced_word_chart_report__docx	docx	words/chartset-002/docx/021_advanced_word_chart_report.docx	1	8	6	4090	3068	1	1	1021
089_Printable_Graph_Paper_Template_Simlpe_Format_3aff1c88__docx	docx	words/chartset-007/docx/089_Printable_Graph_Paper_Template_Simlpe_Format_3aff1c88.docx	1	57	57	31768	31768	0	1	0
030_advanced_word_chart_report__docx	docx	words/chartset-002/docx/030_advanced_word_chart_report.docx	1	8	6	4090	3068	1	1	1021
006_Free_Genogram_Diagram_Template_Fillable_Format_7ca08541__docx	docx	words/chartset-008/docx/006_Free_Genogram_Diagram_Template_Fillable_Format_7ca08541.docx	1	16	52	1737	2892	0	0	0
003_advanced_word_chart_report__docx	docx	words/chartset-003/docx/003_advanced_word_chart_report.docx	1	8	6	4090	3068	1	1	1021
016_Project_Timeline_Template_Complete_Guide_7d36d09c__docx	docx	words/chartset-008/docx/016_Project_Timeline_Template_Complete_Guide_7d36d09c.docx	1	25	25	6973	6972	0	1	0
009_advanced_word_chart_report__docx	docx	words/chartset-003/docx/009_advanced_word_chart_report.docx	1	8	6	4090	3068	1	1	1021
092_Business_Case_Template_Convenient_Format_00786cce__docx	docx	words/chartset-008/docx/092_Business_Case_Template_Convenient_Format_00786cce.docx	7	88	62	31561	28291	1	2	3272
025_advanced_word_chart_report__docx	docx	words/chartset-003/docx/025_advanced_word_chart_report.docx	1	8	6	4090	3068	1	1	1021
007_Free_Genogram_Diagram_Template_Green_and_Purple_Theme_8d2ba829__docx	docx	words/chartset-009/docx/007_Free_Genogram_Diagram_Template_Green_and_Purple_Theme_8d2ba829.docx	1	10	34	1283	2227	0	0	0
010_advanced_word_chart_report__docx	docx	words/chartset-004/docx/010_advanced_word_chart_report.docx	1	8	6	4090	3068	1	1	1021
