identity	ext	path	npages	ours_solo	ours_solo_pt	ours_solo_pages	ref_solo	ref_solo_pt	ref_solo_pages	worst_page
Lessons-Learned-Bulletin-Dorset-version-to-IIRG-V5__docx	docx	words/done-008/docx/Lessons-Learned-Bulletin-Dorset-version-to-IIRG-V5.docx	3	1	144	1	0	0	0	2
2013-op12-Annex III - Curriculum Vitae__doc	doc	words/done-009/doc/2013-op12-Annex III - Curriculum Vitae.doc	3	0	0	0	1	28	1	0
airbus-pdf-information-package_v1-4__docx	docx	words/done-015/docx/airbus-pdf-information-package_v1-4.docx	9	39	19010	5	23	14974	4	7
CP-ETSO template_v2020__doc	doc	words/done-009/doc/CP-ETSO template_v2020.DOC	6	14	5976	3	15	6352	3	1
Contract_Check_Pilot_Sample_LOA__docx	docx	words/done-009/docx/Contract_Check_Pilot_Sample_LOA.docx	4	0	0	0	6	72	1	0
technical report template__docx	docx	words/done-009/docx/technical report template.docx	10	26	1390	1	0	0	0	3
150_5335_5a__doc	doc	words/done-016/doc/150_5335_5a.doc	64	259	51981	8	126	28860	16	5
f111__doc	doc	words/done-010/doc/f111.doc	11	0	0	0	6	680	1	0
Checklist for TC STC ETSO data packages to FAA_TIP rev 5__docx	docx	words/done-010/docx/Checklist for TC STC ETSO data packages to FAA_TIP rev 5.docx	3	0	0	0	6	234	3	0
May 25 bulletin focus on carers in the workplace__docx	docx	words/missing-001/docx/May 25 bulletin focus on carers in the workplace.docx	4	14	2532	4	10	1054	3	4
AAC-AD-No-2021-01-Boeing-737-8-and-737-9-MAX__doc	doc	words/done-011/doc/AAC-AD-No-2021-01-Boeing-737-8-and-737-9-MAX.doc	20	12	3446	7	26	7345	9	13
eTAR_External_Web_tool_Tip_Sheet_mh__docx	docx	words/done-011/docx/eTAR_External_Web_tool_Tip_Sheet_mh.docx	4	0	0	0	3	190	1	0
ESPN-R - MCF - Manual - Ed1.0 - For Publication__docx	docx	words/pagination-001/docx/ESPN-R - MCF - Manual - Ed1.0 - For Publication.docx	35	136	11590	5	1	482	1	5
part-145-approval list (1)__docx	docx	words/done-011/docx/part-145-approval list (1).docx	8	103	29801	8	97	29360	8	5
FO.FCTOA.00010 Application for a Part-ORA ATO Approval__docx	docx	words/pagination-001/docx/FO.FCTOA.00010 Application for a Part-ORA ATO Approval.docx	16	162	86805	11	161	86661	11	3
AirbusCallouts__doc	doc	words/done-012/doc/AirbusCallouts.doc	24	157	68381	14	153	65002	14	22
20110608_psp__docx	docx	words/done-012/docx/20110608_psp.docx	3	2	219	1	2	256	1	3
b050-19__docx	docx	words/done-012/docx/b050-19.docx	3	1	179	1	1	178	1	1
SPA-06_mcar_part-6_and_IS_v2.9__docx	docx	words/done-016/docx/SPA-06_mcar_part-6_and_IS_v2.9.docx	85	152	27368	8	39	13552	10	12
technical-architecture__docx	docx	words/done-012/docx/technical-architecture.docx	8	37	4481	1	3	904	2	4
Reid__doc	doc	words/done-013/doc/Reid.doc	4	0	0	0	1	96	1	0
t_TEMPforInvProgs__docx	docx	words/done-016/docx/t_TEMPforInvProgs.docx	26	166	11412	7	104	8323	4	14
150_5300_13_chg12__doc	doc	words/pagination-002/doc/150_5300_13_chg12.doc	31	305	30770	9	90	25507	13	25
SPA-11_mcar_part-11_v2.9__docx	docx	words/done-013/docx/SPA-11_mcar_part-11_v2.9.docx	49	189	21903	3	38	8415	3	9
gpp-pr-top-7-office-markets-4q-2023__docx	docx	words/done-013/docx/gpp-pr-top-7-office-markets-4q-2023.docx	4	26	7191	1	25	7185	1	3
644730BRI0mna000BOX361539B00public0__doc	doc	words/done-014/doc/644730BRI0mna000BOX361539B00public0.doc	5	6	750	3	8	1325	3	1
1_tpr_template__from_fy14___docx	docx	words/done-014/docx/1_tpr_template__from_fy14_.docx	8	4	1169	3	2	881	1	7
info-bulletin-601__doc	doc	words/extra-001/doc/info-bulletin-601.doc	6	0	0	0	1	581	1	0
Regulations Governing the Status, Basic Rights and Duties of Officials other than Secretariat Officials, and Experts on Mission__docx	docx	words/done-014/docx/Regulations Governing the Status, Basic Rights and Duties of Officials other than Secretariat Officials, and Experts on Mission.docx	18	29	1537	12	25	609	9	3
2013_11__doc	doc	words/done-015/doc/2013_11.doc	8	42	19603	4	44	20552	5	8
Agile_Arc_SysDes__docx	docx	words/done-015/docx/Agile_Arc_SysDes.docx	20	66	10397	4	11	5051	2	3
PI-doc.-no.-2E-Technical-Review-Report__docx	docx	words/done-015/docx/PI-doc.-no.-2E-Technical-Review-Report.docx	12	2	872	1	25	7253	7	4
system_design__technical_architecture_template__docx	docx	words/done-015/docx/system_design__technical_architecture_template.docx	17	92	9965	4	34	16000	4	5
FRE-03_mcar_part-3_and_IS_v2.9__docx	docx	words/metrics-001/docx/FRE-03_mcar_part-3_and_IS_v2.9.docx	76	193	28449	18	30	13564	19	14
review-welsh-government-communications-mister-peter-mandelson__docx	docx	words/metrics-001/docx/review-welsh-government-communications-mister-peter-mandelson.docx	14	21	7392	4	14	6641	5	13
150-5370-10H__docx	docx	words/pagination-003/docx/150-5370-10H.docx	727	423	74068	60	151	60423	20	7
xx_SETIS_PWS_template_10.19.22__docx	docx	words/missing-001/docx/xx_SETIS_PWS_template_10.19.22.docx	15	22	7303	3	25	8197	3	11
A1. EASA Form 2__docx	docx	words/table-001/docx/A1. EASA Form 2.docx	7	201	61999	6	201	57846	7	6
A_320__doc	doc	words/pagination-001/doc/A_320.doc	118	11	5939	11	127	13352	16	32
ESPN-R - MCF - RA - Ed1__docx	docx	words/pagination-001/docx/ESPN-R - MCF - RA - Ed1.docx	58	76	8360	16	1	482	1	8
report-template__docx	docx	words/pagination-001/docx/report-template.docx	20	33	3055	4	1	53	1	3
AC-150-5370-10G-updated-201604__docx	docx	words/done-016/docx/AC-150-5370-10G-updated-201604.docx	696	346	39641	64	51	18402	10	6
HC-Bulletin-template__docx	docx	words/done-016/docx/HC-Bulletin-template.docx	5	10	2238	5	16	4254	5	1
TE.CAO.00125 Foreign Part 145 approvals - OJT Logbook__docx	docx	words/done-016/docx/TE.CAO.00125 Foreign Part 145 approvals - OJT Logbook.docx	15	168	119466	12	153	120253	11	12
EHEST-SMS-Safety-Management-Manual-V2__docx	docx	words/pagination-003/docx/EHEST-SMS-Safety-Management-Manual-V2.docx	82	141	40771	35	91	34226	18	49
WordArt_Shapes_Arrows_Catalog1__docx	docx	words/drawingset-001/docx/WordArt_Shapes_Arrows_Catalog1.docx	52	18	1401	7	6	372	2	35
B11. TE.CAO.00129  Experience  logbook__docx	docx	words/table-001/docx/B11. TE.CAO.00129  Experience  logbook.docx	6	23	7655	3	6	4715	2	5
ABCD-SDE-23-00 - Avionic System Description - 17.02.16 - v1__docx	docx	words/extra-001/docx/ABCD-SDE-23-00 - Avionic System Description - 17.02.16 - v1.docx	29	104	23741	6	183	33053	29	26
UG.CAO.00133 Foreign Part 145 approvals - Language__docx	docx	words/extra-001/docx/UG.CAO.00133 Foreign Part 145 approvals - Language.docx	18	107	38255	10	51	31913	9	14
33004__docx	docx	words/missing-001/docx/33004.docx	47	68	27771	6	79	40796	47	2
24-25_FAA_Holdover_Tables__docx	docx	words/pagination-001/docx/24-25_FAA_Holdover_Tables.docx	155	457	222903	37	1081	622148	155	68
FAA 2025-26 Holdover Tables__docx	docx	words/pagination-001/docx/FAA 2025-26 Holdover Tables.docx	167	518	253055	38	1192	685502	167	73
template---tpr-technical-progress-report-with-guidance__docx	docx	words/pagination-001/docx/template---tpr-technical-progress-report-with-guidance.docx	7	2	288	2	0	0	0	2
docs-quality-MA.IMS.00001-Integrated-Management-System-manual__docx	docx	words/pagination-002/docx/docs-quality-MA.IMS.00001-Integrated-Management-System-manual.docx	44	155	59512	44	351	78430	44	2
approvals-and-standardisation-organisation-approvals-docs-part-145-annex-B-B11.-TE.CAO.00129-Foreign-Part-145-approvals---Experience--logbook__docx	docx	words/table-001/docx/approvals-and-standardisation-organisation-approvals-docs-part-145-annex-B-B11.-TE.CAO.00129-Foreign-Part-145-approvals---Experience--logbook.docx	6	16	3645	3	5	2990	2	5
