# ours = Paperless.Cli at 02a57bd85 (this round's three commits on 97628b7fe), rendering
#        /home/user/corpus-odf -- the .odp column of 26.2.4.2's own conversion of the corpus.
# ref  = /opt/libreoffice26.2/program/soffice, LibreOffice 26.2.4.2 (TDF tarball), all four
#        font confounds aside; reference columns reused from probes/odp-master-r70/ref.tsv,
#        which reproduced probes/odf-gate-01 on 302 of 302.
# rule = batch-check.sh of 2026-09-05: pages, then alphanumeric characters within max(2%, 15),
#        then unembedded fonts. Every glyph column is ours/ref.
# Per-page evidence for the cause column is remainder-classify.txt, produced by classify.py.
path	at_base	after_round	verdict	cause	note
slides/ceiling-001/odp/OnTrac_StarCertificationProgram-3Day.odp	7709/6233	7709/6233	words	raster ceiling	unchanged. Pages 9 and 10 hold a draw:object-ole whose ObjectReplacements entry is an EMF; 26.2.4.2 draws a JPEG (2 page images to our 1) and we replay the metafile as searchable text, +293 and +1183. Ours is the better output.
slides/ceiling-002/odp/16 - UTM - (NASA).odp	15082/13981	15082/13981	words	raster ceiling	unchanged. The same on pages 7 (+592) and 29 (+548, ref 2 characters to our 550); we draw the metafile's own 42 and 14 page images where the reference draws 5 and 2.
slides/ceiling-002/odp/8_P-Pavese_AIRBUS-ATB-journee-CRATB.odp	10377/9914	10496/9914	words	raster ceiling + outlining ceiling + residual	pages 5 and 6 are the raster ceiling (+234, +269); page 16 is the OUTLINING ceiling -- 122 glyph-sized fills on the reference against 36 rotated text lines of ours, +85; page 8 is a -16 defect of ours. Page 15 was -89 at the base and is now exact, on chart:domain.
slides/ceiling-002/odp/Demick_JetBlue.odp	2897/3179	3267/3179	words	outlining ceiling + residual	RECLASSIFIED from "unclassified". Pages 4, 5 and 7 are the outlining ceiling -- 170, 210 and 156 glyph-sized fills on the reference against 23, 27 and 23 rotated text lines of ours -- which is the same three pages TODO.raster-ceiling.md already records for the .pptx twin. Pages 6 and 8 are a -90 deficit of ours. The two cancel, which is why the net reads +88 rather than +178.
slides/chartset-008/odp/038_Competitive_Advantage_Card_for_PowerPoint_and_Google_Slides_373720f6.odp	1585/1449	1585/1449	words	outlining ceiling	RECLASSIFIED from "ODF chart reader". It is not a radar chart (chart:class="chart:bar") and the reference does not draw no labels: it draws 75 glyph-sized fills per page where we draw five 45-degree text lines, and our arrangement agrees with it -- ref cluster 419.24..665.18 against our 417.62..664.51. See results.md section 3.
slides/done-001/odp/Statement of Work presentation.odp	1286/1255	1286/1255	words	180-degree shape rotation applied to text	RECLASSIFIED from "unclassified". Page 3 holds three draw:custom-shape with draw:transform="rotate (-3.14159265358979)"; we draw their text at dir (-1, 0) and 26.2.4.2 draws it upright, and ours also keeps three words the reference's smaller block clips. 375 such rotations in 45 of the 302, nearly all on shapes with no text.
slides/done-002/odp/medicines_bulletin_february_2023_final.odp	2902/3093	2902/3093	words	other, ODF reader	unchanged. One page, -142 by PyMuPDF's per-page count, with 5 reference images to our 5. Unclassified.
slides/done-004/odp/0335fab9-79f0-4944-b92c-f223837ca2d8.odp	4404/4499	4404/4499	words	other, ODF reader	unchanged. Page 6 only, -95, no images and no fills on either side. Unclassified.
slides/done-005/odp/manufacturing_process_simulation_working_group_overview_2023.odp	4868/4733	4868/4733	words	autofit level	unchanged. Page 2 is +135: our fit lands one constScaleLevels row shallower than 26.2.4.2 on a 48pt outline body.
slides/done-012/odp/Sean Monogue.odp	4803/4950	4803/4950	words	other, ODF reader	unchanged. Pages 3 (-26) and 8 (-92). Worth knowing before it is worked: on both pages WE draw 22 and 21 page images where the reference draws 1 and 0, so the sign of the picture/text trade is reversed here.
slides/done-014/odp/redac-sas-201509-asisp-research.odp	18520/19095	18520/19095	words	other, ODF reader	unchanged. Pages 2 (-219) and 7 (-349), plus -3 and -4 on 19 and 21. We draw 128 page images to the reference's 91 over the document. Unclassified.
slides/done-014/odp/vvsummit2022-Research-Roadmap-and-the-UML-3-Operational-Integration-Assessment.odp	8377/8377	8377/8377	unembedded	CFF embedding	unchanged. Glyph-exact; the row fails on `unembedded` alone, one CFF face (Unifont) that PdfFontCatalogue.IsCompactFontFormat declines to embed. Already recorded in dotnet/CLAUDE.md.
slides/metrics-001/odp/Ramp Up Campaign - French.odp	2414/2536	2414/2536	words	other, ODF reader	unchanged. -122 whole-document by pdftotext; PyMuPDF's per-page walk finds only page 2 (-22), so the two instruments disagree about where the rest of it is. Fails as .pptx too.
